tokenID,name,description,file_name,attributes[Night],attributes[Sheet],attributes[Mug],attributes[Hat],attributes[Wrap],attributes[Charm]
52,Shook'um #52,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,52.gif,Dusk,Classic,Sleepy,Halo,Scarf,Candy
53,Shook'um #53,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,53.gif,Blush,Classic,Blep,None,Scarf,Candy Corn
54,Shook'um #54,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,54.gif,Blush,Blush,Starry,Witch,Bowtie,Pumpkin
55,Shook'um #55,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,55.gif,Midnight,Blush,Sleepy,Pumpkin,Chain,Potion
56,Shook'um #56,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,56.gif,Parchment,Classic,Normal,Flower,None,None
57,Shook'um #57,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,57.gif,Dusk,Classic,Starry,None,Chain,Potion
58,Shook'um #58,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,58.gif,Pumpkin,Blush,Blep,Pumpkin,None,Broom
59,Shook'um #59,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,59.gif,Midnight,Blush,Angry,None,None,Bat
60,Shook'um #60,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,60.gif,Graveyard,Classic,Normal,None,Bowtie,None
61,Shook'um #61,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,61.gif,Parchment,Classic,Angry,Bow,Chain,Potion
62,Shook'um #62,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,62.gif,Parchment,Void,Normal,None,None,None
63,Shook'um #63,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,63.gif,Blush,Classic,Sparkly,None,None,None
64,Shook'um #64,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,64.gif,Fog,Classic,Wink,None,Bowtie,None
65,Shook'um #65,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,65.gif,Dusk,Classic,Normal,None,None,None
66,Shook'um #66,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,66.gif,Pumpkin,Classic,Blep,None,Bowtie,Candy Corn
67,Shook'um #67,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,67.gif,Blood Moon,Classic,Spooked,None,Scarf,Candy Corn
68,Shook'um #68,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,68.gif,Dusk,Blush,Heart,Bow,Chain,Potion
69,Shook'um #69,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,69.gif,Blush,Classic,Normal,Witch,None,Pumpkin
70,Shook'um #70,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,70.gif,Pumpkin,Blush,Normal,Halo,None,Pumpkin
71,Shook'um #71,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,71.gif,Blush,Classic,Spooked,Witch,Scarf,None
72,Shook'um #72,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,72.gif,Midnight,Blush,Sparkly,Bow,Chain,Pumpkin
73,Shook'um #73,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,73.gif,Blush,Classic,Blep,Pumpkin,None,Candy
74,Shook'um #74,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,74.gif,Blood Moon,Classic,Normal,Bow,Bowtie,Bat
75,Shook'um #75,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,75.gif,Graveyard,Classic,Normal,None,None,Bat
76,Shook'um #76,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,76.gif,Candy,Classic,Sleepy,Halo,Collar,None
77,Shook'um #77,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,77.gif,Dusk,Void,Angry,Wizard,Scarf,None
78,Shook'um #78,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,78.gif,Midnight,Classic,Wink,Pumpkin,Chain,Pumpkin
79,Shook'um #79,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,79.gif,Pumpkin,Classic,Sleepy,None,None,Bat
80,Shook'um #80,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,80.gif,Parchment,Classic,Normal,None,Bowtie,Candy
81,Shook'um #81,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,81.gif,Parchment,Classic,Angry,Bow,Collar,None
82,Shook'um #82,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,82.gif,Dusk,Classic,Spooked,None,Bowtie,Bat
83,Shook'um #83,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,83.gif,Candy,Void,Wink,Party,None,Moon
84,Shook'um #84,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,84.gif,Fog,Blush,Wink,Halo,Scarf,Pumpkin
85,Shook'um #85,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,85.gif,Pumpkin,Classic,Spooked,Cat Ears,Bowtie,Candy
86,Shook'um #86,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,86.gif,Parchment,Blush,Normal,None,None,Bat
87,Shook'um #87,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,87.gif,Blush,Blush,Starry,None,None,Pumpkin
88,Shook'um #88,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,88.gif,Fog,Blush,Wink,Pumpkin,Scarf,Bat
89,Shook'um #89,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,89.gif,Blood Moon,Classic,Starry,Flower,Bowtie,Candy
90,Shook'um #90,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,90.gif,Fog,Blush,Sleepy,Cat Ears,None,Candy
91,Shook'um #91,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,91.gif,Blush,Classic,Blep,Bow,None,Broom
92,Shook'um #92,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,92.gif,Fog,Classic,Starry,Bow,Bowtie,Broom
93,Shook'um #93,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,93.gif,Blood Moon,Classic,Sleepy,Halo,Collar,Candy
94,Shook'um #94,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,94.gif,Blush,Blush,Wink,None,Collar,Potion
95,Shook'um #95,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,95.gif,Fog,Void,Spooked,None,Collar,None
96,Shook'um #96,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,96.gif,Blood Moon,Blush,Blep,Crown,Cape,Candy
97,Shook'um #97,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,97.gif,Candy,Classic,Angry,None,None,Bat
98,Shook'um #98,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,98.gif,Blush,Classic,Sad,Witch,None,Bat
99,Shook'um #99,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,99.gif,Midnight,Classic,Sleepy,None,Chain,Potion
100,Shook'um #100,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,100.gif,Pumpkin,Classic,Heart,None,Chain,Candy Corn
101,Shook'um #101,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,101.gif,Fog,Blush,Spooked,Bow,Chain,Pumpkin
102,Shook'um #102,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,102.gif,Fog,Blush,Spooked,Witch,Chain,None
103,Shook'um #103,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,103.gif,Parchment,Void,Blep,Witch,Bowtie,None
104,Shook'um #104,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,104.gif,Fog,Classic,Sad,Flower,Pearls,Bat
105,Shook'um #105,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,105.gif,Candy,Void,Sad,Witch,Scarf,Potion
106,Shook'um #106,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,106.gif,Graveyard,Classic,Spooked,None,None,Bat
107,Shook'um #107,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,107.gif,Graveyard,Classic,Spooked,Wizard,Chain,None
108,Shook'um #108,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,108.gif,Fog,Classic,Angry,None,None,Candy Corn
109,Shook'um #109,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,109.gif,Parchment,Classic,Blep,Witch,Collar,Bat
110,Shook'um #110,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,110.gif,Candy,Void,Sleepy,None,Collar,Potion
111,Shook'um #111,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,111.gif,Graveyard,Classic,Blep,Bow,None,None
112,Shook'um #112,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,112.gif,Fog,Blush,Angry,Bow,Scarf,None
113,Shook'um #113,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,113.gif,Parchment,Classic,Blep,Party,None,None
114,Shook'um #114,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,114.gif,Parchment,Void,Spooked,None,Chain,None
115,Shook'um #115,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,115.gif,Midnight,Blush,Angry,Bow,Chain,None
116,Shook'um #116,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,116.gif,Parchment,Blush,Blep,None,Pearls,Potion
117,Shook'um #117,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,117.gif,Midnight,Classic,Wink,Pumpkin,Pearls,Broom
118,Shook'um #118,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,118.gif,Pumpkin,Classic,Sleepy,None,None,None
119,Shook'um #119,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,119.gif,Blush,Blush,Wink,Crown,Bowtie,None
120,Shook'um #120,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,120.gif,Dusk,Classic,Wink,Cat Ears,Scarf,Broom
121,Shook'um #121,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,121.gif,Pumpkin,Void,Normal,None,Scarf,Potion
122,Shook'um #122,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,122.gif,Blush,Classic,Sad,Cat Ears,Scarf,Bat
123,Shook'um #123,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,123.gif,Blush,Void,Blep,None,None,None
124,Shook'um #124,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,124.gif,Candy,Blush,Sad,Cat Ears,Bowtie,None
125,Shook'um #125,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,125.gif,Parchment,Classic,Blep,Cat Ears,None,Candy Corn
126,Shook'um #126,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,126.gif,Parchment,Blush,Wink,None,None,Potion
127,Shook'um #127,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,127.gif,Pumpkin,Blush,Sparkly,None,Chain,Bat
128,Shook'um #128,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,128.gif,Parchment,Classic,Normal,None,Pearls,Pumpkin
129,Shook'um #129,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,129.gif,Candy,Blush,Sleepy,None,Pearls,None
130,Shook'um #130,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,130.gif,Blush,Blush,Heart,Bow,None,None
131,Shook'um #131,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,131.gif,Pumpkin,Blush,Sparkly,Cat Ears,None,Candy
132,Shook'um #132,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,132.gif,Graveyard,Void,Sleepy,Flower,Chain,None
133,Shook'um #133,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,133.gif,Blush,Blush,Wink,Wizard,Scarf,Candy Corn
134,Shook'um #134,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,134.gif,Candy,Classic,Sparkly,Flower,None,Broom
135,Shook'um #135,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,135.gif,Candy,Classic,Normal,Cat Ears,None,None
136,Shook'um #136,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,136.gif,Pumpkin,Blush,Sparkly,Bow,Collar,Pumpkin
137,Shook'um #137,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,137.gif,Graveyard,Void,Spooked,Halo,Pearls,Pumpkin
138,Shook'um #138,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,138.gif,Candy,Classic,Normal,Wizard,None,None
139,Shook'um #139,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,139.gif,Void,Classic,Spooked,Bow,Cape,Candy Corn
140,Shook'um #140,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,140.gif,Midnight,Classic,Spooked,Bow,Cape,None
141,Shook'um #141,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,141.gif,Dusk,Classic,Heart,None,None,Candy Corn
142,Shook'um #142,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,142.gif,Parchment,Blush,Angry,Cat Ears,None,Candy
143,Shook'um #143,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,143.gif,Graveyard,Blush,Blep,Wizard,None,None
144,Shook'um #144,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,144.gif,Parchment,Classic,Angry,Party,Bowtie,None
145,Shook'um #145,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,145.gif,Parchment,Blush,Sleepy,Flower,Chain,Potion
146,Shook'um #146,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,146.gif,Fog,Classic,Normal,Party,Pearls,Potion
147,Shook'um #147,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,147.gif,Pumpkin,Classic,Spooked,None,Chain,Bat
148,Shook'um #148,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,148.gif,Fog,Blush,Starry,Pumpkin,Collar,None
149,Shook'um #149,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,149.gif,Void,Void,Sparkly,Cat Ears,Pearls,Bat
150,Shook'um #150,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,150.gif,Pumpkin,Classic,Normal,Party,None,None
151,Shook'um #151,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,151.gif,Blush,Classic,Sad,None,Bowtie,None
152,Shook'um #152,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,152.gif,Candy,Classic,Sleepy,Witch,Scarf,Pumpkin
153,Shook'um #153,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,153.gif,Fog,Void,Sad,Crown,Pearls,Moon
154,Shook'um #154,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,154.gif,Fog,Classic,Sad,None,Cape,Broom
155,Shook'um #155,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,155.gif,Fog,Classic,Wink,Witch,None,Broom
156,Shook'um #156,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,156.gif,Parchment,Classic,Sparkly,None,Chain,Pumpkin
157,Shook'um #157,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,157.gif,Pumpkin,Void,Spooked,Wizard,None,Pumpkin
158,Shook'um #158,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,158.gif,Parchment,Classic,Wink,Pumpkin,Bowtie,Potion
159,Shook'um #159,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,159.gif,Pumpkin,Classic,Angry,None,None,None
