tokenID,name,description,file_name,attributes[Stock],attributes[Screen],attributes[Figure],attributes[Pass],attributes[Knockout],attributes[Slug],attributes[Mark]
15,Print #15,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,15.gif,Fog Sheet,Gild Mist,Sway,Cuff Pass,Calm,Clear Slug,Ink Splash
16,Print #16,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,16.gif,Recycled Sheet,Ember Dust,Reach,Smock Pass,Wink,Kerchief,Reg Ticks
17,Print #17,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,17.gif,Ice Sheet,Aqua Mesh,Glide,Open Plate,Focus,Bow,Clean Grip
18,Print #18,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,18.gif,Blush Sheet,Aqua Mesh,Hop,Cuff Pass,Grin,Bow,Ink Splash
19,Print #19,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,19.gif,Lemon Sheet,Aqua Mesh,Kick,Bib Pass,Calm,Bow,Ink Splash
20,Print #20,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,20.gif,Mint Sheet,Ember Dust,Glide,Smock Pass,Wink,Burst,Clean Grip
21,Print #21,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,21.gif,Blush Sheet,Bare Stock,Pop,Open Plate,Wink,Clear Slug,Ink Splash
22,Print #22,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,22.gif,Blush Sheet,Rosa Mesh,Sway,Smock Pass,Grin,Brim,Clean Grip
23,Print #23,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,23.gif,Fog Sheet,Aqua Mesh,Glide,Smock Pass,Shout,Brim,Ink Splash
24,Print #24,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,24.gif,Recycled Sheet,Gild Mist,Pop,Smock Pass,Focus,Clear Slug,Clean Grip
25,Print #25,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,25.gif,Mint Sheet,Bare Stock,Glide,Open Plate,Focus,Clear Slug,Reg Ticks
26,Print #26,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,26.gif,Ice Sheet,Gild Mist,Twirl,Flare Pass,Shout,Bow,Star Burst
27,Print #27,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,27.gif,Cream Sheet,Rosa Mesh,Stomp,Open Plate,Grin,Clear Slug,Reg Ticks
28,Print #28,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,28.gif,Ice Sheet,Aqua Mesh,Twirl,Cuff Pass,Shout,Brim,Crop Marks
29,Print #29,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,29.gif,Ice Sheet,Bare Stock,Stomp,Smock Pass,Shout,Clear Slug,Clean Grip
30,Print #30,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,30.gif,Recycled Sheet,Navy Mesh,Glide,Wrap Pass,Grin,Burst,Crop Marks
31,Print #31,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,31.gif,Cream Sheet,Rosa Mesh,Hop,Sash Pass,Shout,Bow,Star Burst
32,Print #32,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,32.gif,Mint Sheet,Rosa Mesh,Kick,Open Plate,Dots,Kerchief,Ink Splash
33,Print #33,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,33.gif,Fog Sheet,Aqua Mesh,Reach,Open Plate,Grin,Clear Slug,Star Burst
34,Print #34,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,34.gif,Cream Sheet,Gild Mist,Hop,Flare Pass,Dots,Clear Slug,Ink Splash
35,Print #35,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,35.gif,Ice Sheet,Ember Dust,Stomp,Cuff Pass,Shout,Brim,Star Burst
36,Print #36,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,36.gif,Kraft Sheet,Bare Stock,Twirl,Bib Pass,Grin,Clear Slug,Reg Ticks
37,Print #37,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,37.gif,Fog Sheet,Bare Stock,Pop,Flare Pass,Dots,Kerchief,Reg Ticks
38,Print #38,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,38.gif,Cream Sheet,Aqua Mesh,Pop,Sash Pass,Shout,Clear Slug,Clean Grip
39,Print #39,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,39.gif,Cream Sheet,Rosa Mesh,Sway,Wrap Pass,Shout,Clear Slug,Clean Grip
40,Print #40,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,40.gif,Fog Sheet,Aqua Mesh,Kick,Bib Pass,Focus,Clear Slug,Reg Ticks
41,Print #41,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,41.gif,Lemon Sheet,Gild Mist,Stomp,Cuff Pass,Focus,Clear Slug,Clean Grip
42,Print #42,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,42.gif,Mint Sheet,Gild Mist,Hop,Smock Pass,Grin,Clear Slug,Star Burst
43,Print #43,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,43.gif,Lemon Sheet,Bare Stock,Hop,Sash Pass,Calm,Bow,Ink Splash
44,Print #44,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,44.gif,Mint Sheet,Bare Stock,Kick,Sash Pass,Grin,Kerchief,Reg Ticks
45,Print #45,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,45.gif,Cream Sheet,Rosa Mesh,Kick,Smock Pass,Shout,Kerchief,Reg Ticks
46,Print #46,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,46.gif,Recycled Sheet,Ember Dust,Sway,Open Plate,Focus,Kerchief,Star Burst
47,Print #47,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,47.gif,Ice Sheet,Gild Mist,Glide,Open Plate,Shout,Clear Slug,Clean Grip
48,Print #48,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,48.gif,Lemon Sheet,Bare Stock,Pop,Sash Pass,Wink,Bow,Reg Ticks
49,Print #49,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,49.gif,Cream Sheet,Bare Stock,Twirl,Smock Pass,Calm,Bow,Clean Grip
50,Print #50,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,50.gif,Kraft Sheet,Gild Mist,Hop,Wrap Pass,Calm,Brim,Crop Marks
51,Print #51,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,51.gif,Recycled Sheet,Navy Mesh,Glide,Open Plate,Wink,Clear Slug,Clean Grip
52,Print #52,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,52.gif,Kraft Sheet,Bare Stock,Kick,Cuff Pass,Focus,Bow,Clean Grip
53,Print #53,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,53.gif,Cream Sheet,Ember Dust,Kick,Open Plate,Grin,Kerchief,Reg Ticks
54,Print #54,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,54.gif,Cream Sheet,Gild Mist,Stomp,Open Plate,Focus,Clear Slug,Clean Grip
55,Print #55,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,55.gif,Lemon Sheet,Gild Mist,Pop,Sash Pass,Dots,Clear Slug,Star Burst
56,Print #56,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,56.gif,Recycled Sheet,Navy Mesh,Hop,Wrap Pass,Shout,Bow,Reg Ticks
57,Print #57,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,57.gif,Fog Sheet,Aqua Mesh,Pop,Open Plate,Shout,Bow,Star Burst
58,Print #58,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,58.gif,Ice Sheet,Bare Stock,Hop,Open Plate,Shout,Clear Slug,Clean Grip
59,Print #59,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,59.gif,Mint Sheet,Bare Stock,Twirl,Cuff Pass,Shout,Kerchief,Ink Splash
60,Print #60,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,60.gif,Cream Sheet,Navy Mesh,Glide,Sash Pass,Calm,Clear Slug,Reg Ticks
61,Print #61,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,61.gif,Lemon Sheet,Bare Stock,Twirl,Flare Pass,Focus,Clear Slug,Reg Ticks
62,Print #62,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,62.gif,Mint Sheet,Navy Mesh,Glide,Wrap Pass,Shout,Brim,Crop Marks
63,Print #63,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,63.gif,Mint Sheet,Bare Stock,Stomp,Bib Pass,Shout,Burst,Star Burst
64,Print #64,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,64.gif,Kraft Sheet,Aqua Mesh,Kick,Smock Pass,Dots,Brim,Clean Grip
65,Print #65,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,65.gif,Lemon Sheet,Gild Mist,Kick,Bib Pass,Grin,Clear Slug,Ink Splash
66,Print #66,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,66.gif,Blush Sheet,Bare Stock,Stomp,Smock Pass,Calm,Brim,Clean Grip
67,Print #67,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,67.gif,Fog Sheet,Bare Stock,Twirl,Sash Pass,Shout,Brim,Ink Splash
68,Print #68,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,68.gif,Ice Sheet,Aqua Mesh,Kick,Bib Pass,Dots,Clear Slug,Reg Ticks
69,Print #69,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,69.gif,Kraft Sheet,Bare Stock,Hop,Flare Pass,Grin,Brim,Clean Grip
70,Print #70,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,70.gif,Kraft Sheet,Navy Mesh,Glide,Open Plate,Wink,Bow,Reg Ticks
71,Print #71,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,71.gif,Cream Sheet,Ember Dust,Pop,Flare Pass,Grin,Bow,Star Burst
72,Print #72,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,72.gif,Mint Sheet,Bare Stock,Sway,Smock Pass,Calm,Clear Slug,Reg Ticks
73,Print #73,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,73.gif,Fog Sheet,Navy Mesh,Pop,Cuff Pass,Calm,Clear Slug,Clean Grip
74,Print #74,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,74.gif,Recycled Sheet,Aqua Mesh,Kick,Open Plate,Focus,Bow,Crop Marks
75,Print #75,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,75.gif,Fog Sheet,Rosa Mesh,Twirl,Flare Pass,Shout,Bow,Crop Marks
76,Print #76,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,76.gif,Kraft Sheet,Aqua Mesh,Stomp,Flare Pass,Shout,Clear Slug,Clean Grip
77,Print #77,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,77.gif,Lemon Sheet,Ember Dust,Sway,Open Plate,Dots,Burst,Star Burst
78,Print #78,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,78.gif,Ice Sheet,Bare Stock,Kick,Flare Pass,Dots,Clear Slug,Reg Ticks
79,Print #79,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,79.gif,Ice Sheet,Rosa Mesh,Hop,Wrap Pass,Shout,Kerchief,Ink Splash
80,Print #80,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,80.gif,Fog Sheet,Rosa Mesh,Kick,Sash Pass,Wink,Clear Slug,Clean Grip
81,Print #81,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,81.gif,Ice Sheet,Aqua Mesh,Stomp,Flare Pass,Dots,Clear Slug,Clean Grip
82,Print #82,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,82.gif,Mint Sheet,Bare Stock,Reach,Bib Pass,Grin,Bow,Clean Grip
83,Print #83,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,83.gif,Mint Sheet,Rosa Mesh,Stomp,Bib Pass,Focus,Burst,Crop Marks
84,Print #84,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,84.gif,Mint Sheet,Bare Stock,Hop,Open Plate,Shout,Bow,Crop Marks
85,Print #85,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,85.gif,Mint Sheet,Gild Mist,Kick,Sash Pass,Shout,Kerchief,Clean Grip
86,Print #86,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,86.gif,Lemon Sheet,Gild Mist,Twirl,Open Plate,Wink,Kerchief,Ink Splash
87,Print #87,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,87.gif,Recycled Sheet,Navy Mesh,Sway,Open Plate,Shout,Brim,Reg Ticks
88,Print #88,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,88.gif,Kraft Sheet,Gild Mist,Hop,Wrap Pass,Focus,Kerchief,Clean Grip
89,Print #89,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,89.gif,Fog Sheet,Ember Dust,Twirl,Open Plate,Shout,Burst,Reg Ticks
90,Print #90,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,90.gif,Lemon Sheet,Gild Mist,Reach,Cuff Pass,Grin,Clear Slug,Reg Ticks
91,Print #91,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,91.gif,Recycled Sheet,Ember Dust,Pop,Open Plate,Dots,Clear Slug,Star Burst
92,Print #92,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,92.gif,Lemon Sheet,Bare Stock,Pop,Flare Pass,Dots,Clear Slug,Ink Splash
93,Print #93,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,93.gif,Mint Sheet,Aqua Mesh,Glide,Open Plate,Calm,Kerchief,Clean Grip
94,Print #94,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,94.gif,Cream Sheet,Navy Mesh,Kick,Open Plate,Grin,Burst,Reg Ticks
95,Print #95,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,95.gif,Mint Sheet,Rosa Mesh,Kick,Smock Pass,Focus,Bow,Reg Ticks
96,Print #96,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,96.gif,Fog Sheet,Bare Stock,Sway,Flare Pass,Grin,Burst,Ink Splash
97,Print #97,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,97.gif,Ice Sheet,Aqua Mesh,Twirl,Bib Pass,Calm,Brim,Reg Ticks
98,Print #98,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,98.gif,Mint Sheet,Rosa Mesh,Hop,Smock Pass,Dots,Kerchief,Reg Ticks
99,Print #99,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,99.gif,Kraft Sheet,Aqua Mesh,Hop,Sash Pass,Grin,Burst,Reg Ticks
100,Print #100,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,100.gif,Kraft Sheet,Aqua Mesh,Sway,Smock Pass,Calm,Clear Slug,Clean Grip
101,Print #101,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,101.gif,Ice Sheet,Bare Stock,Twirl,Sash Pass,Focus,Clear Slug,Star Burst
102,Print #102,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,102.gif,Cream Sheet,Bare Stock,Glide,Smock Pass,Focus,Clear Slug,Ink Splash
103,Print #103,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,103.gif,Mint Sheet,Ember Dust,Pop,Bib Pass,Focus,Kerchief,Reg Ticks
104,Print #104,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,104.gif,Lemon Sheet,Bare Stock,Hop,Cuff Pass,Shout,Bow,Ink Splash
105,Print #105,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,105.gif,Blush Sheet,Aqua Mesh,Glide,Open Plate,Dots,Burst,Crop Marks
106,Print #106,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,106.gif,Recycled Sheet,Ember Dust,Twirl,Sash Pass,Focus,Bow,Clean Grip
107,Print #107,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,107.gif,Kraft Sheet,Navy Mesh,Sway,Flare Pass,Grin,Bow,Crop Marks
108,Print #108,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,108.gif,Lemon Sheet,Gild Mist,Kick,Flare Pass,Grin,Bow,Crop Marks
109,Print #109,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,109.gif,Cream Sheet,Ember Dust,Sway,Open Plate,Shout,Kerchief,Star Burst
110,Print #110,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,110.gif,Kraft Sheet,Navy Mesh,Pop,Smock Pass,Calm,Brim,Ink Splash
111,Print #111,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,111.gif,Cream Sheet,Gild Mist,Pop,Open Plate,Calm,Kerchief,Clean Grip
112,Print #112,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,112.gif,Lemon Sheet,Gild Mist,Kick,Wrap Pass,Focus,Clear Slug,Ink Splash
113,Print #113,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,113.gif,Lemon Sheet,Aqua Mesh,Kick,Open Plate,Wink,Kerchief,Reg Ticks
114,Print #114,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,114.gif,Fog Sheet,Bare Stock,Stomp,Cuff Pass,Dots,Bow,Clean Grip
115,Print #115,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,115.gif,Recycled Sheet,Gild Mist,Pop,Sash Pass,Calm,Clear Slug,Reg Ticks
116,Print #116,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,116.gif,Lemon Sheet,Aqua Mesh,Kick,Wrap Pass,Dots,Kerchief,Clean Grip
117,Print #117,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,117.gif,Lemon Sheet,Ember Dust,Glide,Flare Pass,Dots,Clear Slug,Clean Grip
118,Print #118,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,118.gif,Ice Sheet,Rosa Mesh,Stomp,Smock Pass,Grin,Clear Slug,Reg Ticks
119,Print #119,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,119.gif,Blush Sheet,Aqua Mesh,Reach,Wrap Pass,Dots,Burst,Clean Grip
120,Print #120,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,120.gif,Kraft Sheet,Rosa Mesh,Hop,Cuff Pass,Grin,Burst,Clean Grip
121,Print #121,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,121.gif,Lemon Sheet,Rosa Mesh,Hop,Open Plate,Grin,Burst,Ink Splash
122,Print #122,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,122.gif,Blush Sheet,Ember Dust,Twirl,Smock Pass,Shout,Bow,Star Burst
123,Print #123,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,123.gif,Ice Sheet,Ember Dust,Pop,Open Plate,Focus,Kerchief,Ink Splash
124,Print #124,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,124.gif,Mint Sheet,Bare Stock,Glide,Wrap Pass,Wink,Kerchief,Ink Splash
125,Print #125,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,125.gif,Cream Sheet,Bare Stock,Kick,Smock Pass,Grin,Clear Slug,Ink Splash
126,Print #126,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,126.gif,Recycled Sheet,Aqua Mesh,Hop,Wrap Pass,Dots,Bow,Clean Grip
127,Print #127,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,127.gif,Lemon Sheet,Rosa Mesh,Twirl,Bib Pass,Shout,Clear Slug,Clean Grip
128,Print #128,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,128.gif,Lemon Sheet,Ember Dust,Reach,Open Plate,Calm,Kerchief,Star Burst
129,Print #129,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,129.gif,Recycled Sheet,Aqua Mesh,Kick,Smock Pass,Wink,Bow,Clean Grip
130,Print #130,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,130.gif,Cream Sheet,Rosa Mesh,Kick,Cuff Pass,Calm,Brim,Ink Splash
131,Print #131,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,131.gif,Fog Sheet,Rosa Mesh,Twirl,Bib Pass,Grin,Burst,Clean Grip
132,Print #132,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,132.gif,Ice Sheet,Rosa Mesh,Stomp,Wrap Pass,Calm,Kerchief,Star Burst
133,Print #133,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,133.gif,Blush Sheet,Rosa Mesh,Kick,Open Plate,Wink,Burst,Ink Splash
134,Print #134,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,134.gif,Lemon Sheet,Aqua Mesh,Hop,Bib Pass,Wink,Brim,Crop Marks
135,Print #135,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,135.gif,Mint Sheet,Navy Mesh,Twirl,Sash Pass,Calm,Bow,Clean Grip
136,Print #136,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,136.gif,Mint Sheet,Rosa Mesh,Stomp,Cuff Pass,Shout,Clear Slug,Crop Marks
137,Print #137,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,137.gif,Cream Sheet,Gild Mist,Twirl,Open Plate,Grin,Clear Slug,Star Burst
138,Print #138,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,138.gif,Blush Sheet,Aqua Mesh,Reach,Flare Pass,Dots,Clear Slug,Clean Grip
139,Print #139,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,139.gif,Blush Sheet,Rosa Mesh,Stomp,Bib Pass,Dots,Clear Slug,Clean Grip
140,Print #140,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,140.gif,Lemon Sheet,Navy Mesh,Twirl,Flare Pass,Shout,Brim,Reg Ticks
