tokenID,name,description,file_name,attributes[Venue],attributes[Note],attributes[Expression],attributes[Topper],attributes[Cable],attributes[Riff]
34,Groovy #34,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,34.gif,Disco Floor,Whole,Groove,Afro,None,None
35,Groovy #35,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,35.gif,Sunset Strip,Quarter,Shout,Shades,Mic,Vinyl
36,Groovy #36,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,36.gif,Chrome Wash,Quarter,Shout,None,Cans,None
37,Groovy #37,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,37.gif,Velvet Night,Whole,Groove,None,None,Vinyl
38,Groovy #38,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,38.gif,Velvet Night,Beamed,Starry,Beanie,Cans,Bolt
39,Groovy #39,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,39.gif,Velvet Night,Eighth,Cool,None,Gold Chain,Treble
40,Groovy #40,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,40.gif,Sunset Strip,Eighth,Groove,None,Gold Chain,Stars
41,Groovy #41,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,41.gif,Sunset Strip,Eighth,Shout,None,Gold Chain,Treble
42,Groovy #42,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,42.gif,Disco Floor,Whole,Cool,None,None,Treble
43,Groovy #43,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,43.gif,Disco Floor,Beamed,Groove,None,None,Stars
44,Groovy #44,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,44.gif,Disco Floor,Quarter,Shout,Beanie,None,Treble
45,Groovy #45,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,45.gif,Velvet Night,Eighth,Starry,Beanie,Mic,None
46,Groovy #46,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,46.gif,Sunset Strip,Eighth,Groove,Shades,None,None
47,Groovy #47,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,47.gif,Sunset Strip,Whole,Groove,None,Cans,Vinyl
48,Groovy #48,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,48.gif,Chrome Wash,Eighth,Wink,Afro,None,None
49,Groovy #49,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,49.gif,Velvet Night,Eighth,Wink,Afro,None,None
50,Groovy #50,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,50.gif,Sunset Strip,Quarter,Groove,Afro,Gold Chain,Bolt
51,Groovy #51,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,51.gif,Chrome Wash,Eighth,Cool,Beanie,None,Stars
52,Groovy #52,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,52.gif,Velvet Night,Whole,Groove,None,Gold Chain,None
53,Groovy #53,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,53.gif,Lava Lamp,Whole,Cool,Afro,Cans,Treble
54,Groovy #54,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,54.gif,Velvet Night,Eighth,Cool,None,None,Treble
55,Groovy #55,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,55.gif,Blacklight,Eighth,Cool,Afro,Cans,Vinyl
56,Groovy #56,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,56.gif,Chrome Wash,Beamed,Starry,Halo,Mic,Stars
57,Groovy #57,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,57.gif,Velvet Night,Quarter,Wink,None,None,Vinyl
58,Groovy #58,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,58.gif,Sunset Strip,Quarter,Groove,Beanie,Gold Chain,None
59,Groovy #59,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,59.gif,Sunset Strip,Beamed,Cool,None,None,Treble
60,Groovy #60,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,60.gif,Lava Lamp,Quarter,Groove,Halo,None,Stars
61,Groovy #61,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,61.gif,Sunset Strip,Quarter,Groove,Beanie,Gold Chain,Vinyl
62,Groovy #62,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,62.gif,Sunset Strip,Quarter,Groove,Halo,Mic,Vinyl
63,Groovy #63,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,63.gif,Chrome Wash,Eighth,Wink,Afro,Mic,Treble
64,Groovy #64,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,64.gif,Lava Lamp,Quarter,Wink,Shades,Mic,Vinyl
65,Groovy #65,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,65.gif,Sunset Strip,Whole,Cool,Shades,None,None
66,Groovy #66,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,66.gif,Lava Lamp,Quarter,Cool,Shades,Gold Chain,Vinyl
67,Groovy #67,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,67.gif,Disco Floor,Quarter,Groove,Beanie,Cans,Bolt
68,Groovy #68,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,68.gif,Lava Lamp,Eighth,Groove,None,None,Stars
69,Groovy #69,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,69.gif,Velvet Night,Quarter,Shout,Afro,Mic,Stars
70,Groovy #70,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,70.gif,Chrome Wash,Whole,Starry,Halo,Gold Chain,None
71,Groovy #71,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,71.gif,Blacklight,Eighth,Groove,Beanie,Cans,Vinyl
72,Groovy #72,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,72.gif,Disco Floor,Quarter,Shout,None,Mic,None
73,Groovy #73,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,73.gif,Velvet Night,Whole,Cool,Afro,None,None
74,Groovy #74,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,74.gif,Disco Floor,Quarter,Cool,Halo,None,Bolt
75,Groovy #75,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,75.gif,Chrome Wash,Quarter,Groove,None,None,Vinyl
76,Groovy #76,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,76.gif,Velvet Night,Beamed,Wink,Shades,Gold Chain,None
77,Groovy #77,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,77.gif,Disco Floor,Quarter,Cool,Afro,Gold Chain,None
78,Groovy #78,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,78.gif,Velvet Night,Whole,Shout,Halo,None,Treble
79,Groovy #79,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,79.gif,Blacklight,Whole,Cool,Afro,Cans,Treble
80,Groovy #80,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,80.gif,Sunset Strip,Beamed,Shout,Beanie,Gold Chain,Vinyl
81,Groovy #81,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,81.gif,Blacklight,Quarter,Cool,Shades,None,Bolt
82,Groovy #82,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,82.gif,Sunset Strip,Eighth,Groove,Halo,None,Stars
83,Groovy #83,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,83.gif,Chrome Wash,Quarter,Cool,Halo,Gold Chain,None
84,Groovy #84,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,84.gif,Sunset Strip,Whole,Wink,Halo,Cans,Treble
85,Groovy #85,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,85.gif,Lava Lamp,Beamed,Groove,Shades,Mic,Treble
86,Groovy #86,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,86.gif,Disco Floor,Beamed,Starry,Shades,None,None
87,Groovy #87,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,87.gif,Velvet Night,Beamed,Wink,None,None,Stars
88,Groovy #88,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,88.gif,Blacklight,Whole,Cool,None,Cans,None
89,Groovy #89,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,89.gif,Lava Lamp,Eighth,Wink,Afro,Cans,Bolt
90,Groovy #90,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,90.gif,Velvet Night,Quarter,Wink,Halo,Gold Chain,None
91,Groovy #91,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,91.gif,Disco Floor,Eighth,Cool,None,Cans,Vinyl
92,Groovy #92,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,92.gif,Chrome Wash,Whole,Cool,None,None,Treble
93,Groovy #93,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,93.gif,Sunset Strip,Beamed,Shout,Afro,Gold Chain,None
94,Groovy #94,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,94.gif,Lava Lamp,Quarter,Starry,Shades,Mic,Stars
95,Groovy #95,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,95.gif,Chrome Wash,Quarter,Cool,Shades,None,Vinyl
96,Groovy #96,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,96.gif,Velvet Night,Beamed,Shout,Shades,None,Vinyl
97,Groovy #97,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,97.gif,Velvet Night,Eighth,Cool,Beanie,Cans,None
98,Groovy #98,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,98.gif,Sunset Strip,Eighth,Shout,Shades,Mic,Stars
99,Groovy #99,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,99.gif,Disco Floor,Quarter,Groove,Halo,Gold Chain,Treble
100,Groovy #100,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,100.gif,Velvet Night,Whole,Starry,Beanie,Gold Chain,None
101,Groovy #101,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,101.gif,Blacklight,Beamed,Shout,None,Cans,Stars
102,Groovy #102,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,102.gif,Lava Lamp,Whole,Wink,Halo,Cans,None
103,Groovy #103,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,103.gif,Sunset Strip,Eighth,Starry,Halo,Gold Chain,None
104,Groovy #104,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,104.gif,Sunset Strip,Quarter,Groove,Beanie,None,Treble
105,Groovy #105,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,105.gif,Blacklight,Quarter,Shout,Shades,Gold Chain,Treble
106,Groovy #106,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,106.gif,Blacklight,Quarter,Starry,Afro,None,None
107,Groovy #107,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,107.gif,Blacklight,Quarter,Cool,Afro,Cans,Treble
108,Groovy #108,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,108.gif,Lava Lamp,Eighth,Cool,None,Cans,Vinyl
109,Groovy #109,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,109.gif,Lava Lamp,Whole,Cool,Shades,Mic,None
110,Groovy #110,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,110.gif,Blacklight,Eighth,Wink,Shades,None,Treble
111,Groovy #111,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,111.gif,Lava Lamp,Quarter,Shout,Afro,Gold Chain,Treble
112,Groovy #112,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,112.gif,Velvet Night,Whole,Shout,Beanie,Gold Chain,Treble
113,Groovy #113,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,113.gif,Disco Floor,Eighth,Shout,Halo,None,None
114,Groovy #114,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,114.gif,Velvet Night,Quarter,Shout,Shades,Cans,None
115,Groovy #115,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,115.gif,Blacklight,Quarter,Cool,Beanie,None,Stars
116,Groovy #116,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,116.gif,Sunset Strip,Whole,Shout,Halo,Gold Chain,Treble
117,Groovy #117,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,117.gif,Velvet Night,Eighth,Shout,Beanie,None,Vinyl
118,Groovy #118,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,118.gif,Velvet Night,Whole,Wink,Shades,None,Vinyl
119,Groovy #119,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,119.gif,Velvet Night,Quarter,Cool,Beanie,Mic,Bolt
120,Groovy #120,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,120.gif,Chrome Wash,Quarter,Wink,Beanie,Gold Chain,None
121,Groovy #121,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,121.gif,Disco Floor,Whole,Wink,Halo,None,Vinyl
122,Groovy #122,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,122.gif,Blacklight,Whole,Groove,None,Mic,Treble
123,Groovy #123,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,123.gif,Disco Floor,Beamed,Cool,Halo,Gold Chain,None
124,Groovy #124,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,124.gif,Velvet Night,Eighth,Groove,Afro,Mic,Treble
125,Groovy #125,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,125.gif,Lava Lamp,Beamed,Starry,Shades,None,Stars
126,Groovy #126,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,126.gif,Lava Lamp,Quarter,Starry,Afro,None,Stars
127,Groovy #127,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,127.gif,Velvet Night,Quarter,Starry,Beanie,None,Vinyl
128,Groovy #128,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,128.gif,Disco Floor,Beamed,Cool,Halo,Cans,None
129,Groovy #129,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,129.gif,Disco Floor,Quarter,Starry,Beanie,Gold Chain,Vinyl
130,Groovy #130,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,130.gif,Chrome Wash,Quarter,Wink,None,Cans,Bolt
131,Groovy #131,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,131.gif,Blacklight,Beamed,Cool,None,None,Vinyl
132,Groovy #132,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,132.gif,Lava Lamp,Beamed,Shout,Afro,None,Treble
133,Groovy #133,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,133.gif,Lava Lamp,Eighth,Starry,Halo,None,Stars
134,Groovy #134,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,134.gif,Sunset Strip,Eighth,Shout,Shades,Cans,None
135,Groovy #135,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,135.gif,Velvet Night,Quarter,Groove,Afro,Cans,None
136,Groovy #136,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,136.gif,Lava Lamp,Whole,Wink,Afro,Mic,None
137,Groovy #137,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,137.gif,Lava Lamp,Whole,Groove,Beanie,Cans,Bolt
138,Groovy #138,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,138.gif,Lava Lamp,Quarter,Groove,Afro,Gold Chain,Treble
139,Groovy #139,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,139.gif,Sunset Strip,Whole,Starry,Afro,Gold Chain,Vinyl
140,Groovy #140,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,140.gif,Sunset Strip,Quarter,Cool,Afro,Gold Chain,None
141,Groovy #141,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,141.gif,Velvet Night,Beamed,Wink,Shades,Mic,None
142,Groovy #142,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,142.gif,Disco Floor,Quarter,Groove,None,None,Treble
143,Groovy #143,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,143.gif,Disco Floor,Quarter,Cool,Shades,Mic,Bolt
144,Groovy #144,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,144.gif,Sunset Strip,Beamed,Wink,Beanie,Mic,Vinyl
145,Groovy #145,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,145.gif,Sunset Strip,Eighth,Wink,Shades,None,None
146,Groovy #146,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,146.gif,Lava Lamp,Quarter,Groove,Halo,Mic,Vinyl
147,Groovy #147,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,147.gif,Blacklight,Quarter,Cool,Shades,None,Stars
148,Groovy #148,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,148.gif,Sunset Strip,Eighth,Shout,Halo,Mic,Bolt
149,Groovy #149,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,149.gif,Lava Lamp,Beamed,Cool,Afro,None,None
150,Groovy #150,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,150.gif,Disco Floor,Whole,Wink,Beanie,Gold Chain,Stars
151,Groovy #151,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,151.gif,Disco Floor,Eighth,Starry,Halo,Gold Chain,Stars
152,Groovy #152,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,152.gif,Lava Lamp,Whole,Starry,Shades,None,Treble
