tokenID,name,description,file_name,attributes[Series],attributes[Palette],attributes[Motion],attributes[Season],attributes[Medium],attributes[Family],attributes[Weather]
46,Night Pier,Planks walk out over black glass. Lamps practice being moons.,46.gif,Afterimages,Teak Gold,Shimmer,Night,APNG,Signature,Clear
47,Copper Storm,Clouds rust in place. Lightning is only a rumor they keep repeating.,47.gif,Afterimages,Verdigris Copper,Rumble,Storm,APNG,Signature,Clear
48,Quiet Orbit,A small moon keeps a larger promise. The dark is the agreement.,48.gif,Afterimages,Slate Gold,Orbit,Void,APNG,Signature,Clear
49,Train Signal,Red and green take turns at being the future. The rails do not care.,49.gif,Afterimages,Signal Night,Switch,Night,APNG,Signature,Clear
50,Last Firefly,One gold thought left in a dark meadow. It refuses to land.,50.gif,Afterimages,Meadow Gold,Drift,Night,APNG,Signature,Clear
51,Soft Comet,Soft Comet holds a wave in signal night. Nothing in the frame is in a hurry to finish.,51.gif,Afterimages,Signal Night,Wave,Night,APNG,Harbor,Clear
52,Ember Halo,Ember Halo holds a fall in night red. One object keeps a promise the sky will not.,52.gif,Afterimages,Night Red,Fall,Night,APNG,Waterline,Rain
53,Sunlit Orchard,Sunlit Orchard holds a spin in umber gold. A small motion keeps the rest of the canvas honest.,53.gif,Afterimages,Umber Gold,Spin,Void,APNG,Emberland,Sparks
54,Thin Flats,Thin Flats holds a spin in jewel gold. Light arrives late and leaves a forwarding address.,54.gif,Afterimages,Jewel Gold,Spin,Night,APNG,Mineral,Rain
55,Wind Comet,Wind Comet holds a sweep in signal night. Nothing in the frame is in a hurry to finish.,55.gif,Afterimages,Signal Night,Sweep,Dawn,APNG,Harbor,Sparks
56,Azure Market,Azure Market holds a wave in umber gold. A second thought of the same landscape.,56.gif,Afterimages,Umber Gold,Wave,Void,APNG,Grove,Petals
57,Spark Bridge,Spark Bridge holds a drift in teak gold. Light arrives late and leaves a forwarding address.,57.gif,Afterimages,Teak Gold,Drift,Winter,APNG,Grove,Mist
58,Last Door,Last Door holds a spin in jade orange. The loop is shorter than the weather it remembers.,58.gif,Afterimages,Jade Orange,Spin,Night,APNG,Harbor,Petals
59,Golden Veil,Golden Veil holds a rise in magenta cyan. It turns so the quiet can last.,59.gif,Afterimages,Magenta Cyan,Rise,Spring,APNG,Harbor,Petals
60,Azure Grove,Azure Grove holds a pulse in magenta fog. The edge of the picture is where the clock lives.,60.gif,Afterimages,Magenta Fog,Pulse,Harvest,APNG,Paperweather,Clear
61,Thin Aisle,Thin Aisle holds a pulse in teal gold. The hour repeats until the color agrees.,61.gif,Afterimages,Teal Gold,Pulse,Noon,APNG,Harbor,Clear
62,High Garden,High Garden holds a trail in ice ember. The dark around it is doing the real work.,62.gif,Afterimages,Ice Ember,Trail,Dusk,APNG,Grove,Rain
63,Iron Chapel,Iron Chapel holds a trail in umber gold. It turns so the quiet can last.,63.gif,Afterimages,Umber Gold,Trail,Dusk,APNG,Paperweather,Clear
64,Starlit Ember,Starlit Ember holds a rise in meadow gold. The loop is shorter than the weather it remembers.,64.gif,Afterimages,Meadow Gold,Rise,Fog,APNG,Stormfield,Clear
65,Known Tower,Known Tower holds a wave in verdigris copper. The hour repeats until the color agrees.,65.gif,Afterimages,Verdigris Copper,Wave,Noon,APNG,Grove,Sparks
66,Open Tilt,Open Tilt holds a sweep in eclipse copper. Light arrives late and leaves a forwarding address.,66.gif,Afterimages,Eclipse Copper,Sweep,Fog,APNG,Botanica,Mist
67,Low Dawn,Low Dawn holds a sweep in cinnabar night. One object keeps a promise the sky will not.,67.gif,Afterimages,Cinnabar Night,Sweep,Harvest,APNG,Waterline,Rain
68,Soft Forge,Soft Forge holds a breath in magenta cyan. It turns so the quiet can last.,68.gif,Afterimages,Magenta Cyan,Breath,Noon,APNG,Botanica,Clear
69,Thin Beacon,Thin Beacon holds a drift in ice blue. The loop is shorter than the weather it remembers.,69.gif,Afterimages,Ice Blue,Drift,Dawn,APNG,Sanctum,Petals
70,Little Garden,Little Garden holds a trail in rust sodium. Nothing in the frame is in a hurry to finish.,70.gif,Afterimages,Rust Sodium,Trail,Void,APNG,Emberland,Petals
71,Late Well,Late Well holds a spin in honey stone. The edge of the picture is where the clock lives.,71.gif,Afterimages,Honey Stone,Spin,Fog,APNG,Nightwork,Snow
72,Snow Forge,Snow Forge holds a spin in cinnabar night. The edge of the picture is where the clock lives.,72.gif,Afterimages,Cinnabar Night,Spin,Night,APNG,Paperweather,Mist
73,Ember Halo Shore,Ember Halo Shore holds a wave in aurora violet. A second thought of the same landscape.,73.gif,Afterimages,Aurora Violet,Wave,Winter,APNG,Waterline,Rain
74,Ink Cabin,Ink Cabin holds a breath in sand cyan. A small motion keeps the rest of the canvas honest.,74.gif,Afterimages,Sand Cyan,Breath,Noon,APNG,Paperweather,Rain
75,Spark Meadow,Spark Meadow holds a sweep in storm brass. The dark around it is doing the real work.,75.gif,Afterimages,Storm Brass,Sweep,Noon,APNG,Waterline,Rain
76,Stone Road,Stone Road holds a wave in sumi cream. One object keeps a promise the sky will not.,76.gif,Afterimages,Sumi Cream,Wave,Night,APNG,Mineral,Petals
77,Violet Aisle,Violet Aisle holds a flash in gold leaf. A small motion keeps the rest of the canvas honest.,77.gif,Afterimages,Gold Leaf,Flash,Fog,APNG,Harbor,Rain
78,Wind Bridge,Wind Bridge holds a wave in spectrum stone. Light arrives late and leaves a forwarding address.,78.gif,Afterimages,Spectrum Stone,Wave,Storm,APNG,Mineral,Sparks
79,Rusted Cliff,Rusted Cliff holds a sweep in verdigris copper. The dark around it is doing the real work.,79.gif,Afterimages,Verdigris Copper,Sweep,Noon,APNG,Grove,Rain
80,Soft Well,Soft Well holds a wave in navy amber. It turns so the quiet can last.,80.gif,Afterimages,Navy Amber,Wave,Dusk,APNG,Harbor,Mist
81,Ember Cape,Ember Cape holds a pulse in ice blue. The dark around it is doing the real work.,81.gif,Afterimages,Ice Blue,Pulse,Fog,APNG,Orbitwell,Rain
82,Quiet Window,Quiet Window holds a fall in jade mist. The hour repeats until the color agrees.,82.gif,Afterimages,Jade Mist,Fall,Fog,APNG,Nightwork,Sparks
83,Thin Pier,Thin Pier holds a breath in storm brass. Nothing in the frame is in a hurry to finish.,83.gif,Afterimages,Storm Brass,Breath,Harvest,APNG,Mineral,Mist
84,Last Lantern,Last Lantern holds a sweep in fog steel. Nothing in the frame is in a hurry to finish.,84.gif,Afterimages,Fog Steel,Sweep,Void,APNG,Sanctum,Sparks
85,Second Knot,Second Knot holds a spin in gold leaf. One object keeps a promise the sky will not.,85.gif,Afterimages,Gold Leaf,Spin,Winter,APNG,Sanctum,Mist
86,Great Veil,Great Veil holds a sweep in cinnabar night. Light arrives late and leaves a forwarding address.,86.gif,Afterimages,Cinnabar Night,Sweep,Storm,APNG,Paperweather,Mist
87,Hidden Bell,Hidden Bell holds a breath in rust sodium. One object keeps a promise the sky will not.,87.gif,Afterimages,Rust Sodium,Breath,Void,APNG,Stormfield,Snow
88,Deep Garden,Deep Garden holds a sweep in blush cream. A small motion keeps the rest of the canvas honest.,88.gif,Afterimages,Blush Cream,Sweep,Dawn,APNG,Emberland,Snow
89,Pale Shore,Pale Shore holds a spin in gold leaf. Nothing in the frame is in a hurry to finish.,89.gif,Afterimages,Gold Leaf,Spin,Night,APNG,Stormfield,Clear
90,Soft Wake,Soft Wake holds a pulse in jade orange. One object keeps a promise the sky will not.,90.gif,Afterimages,Jade Orange,Pulse,Fog,APNG,Voidlight,Snow
91,Closed Cape,Closed Cape holds a trail in jewel gold. Light arrives late and leaves a forwarding address.,91.gif,Afterimages,Jewel Gold,Trail,Harvest,APNG,Orbitwell,Mist
92,Old Lake,Old Lake holds a sweep in ash white. Nothing in the frame is in a hurry to finish.,92.gif,Afterimages,Ash White,Sweep,Noon,APNG,Botanica,Mist
93,Smoked Orchard,Smoked Orchard holds a fall in obsidian chrome. Nothing in the frame is in a hurry to finish.,93.gif,Afterimages,Obsidian Chrome,Fall,Void,APNG,Grove,Clear
94,Wet Hour,Wet Hour holds a fall in ice teal. A second thought of the same landscape.,94.gif,Afterimages,Ice Teal,Fall,Night,APNG,Orbitwell,Petals
95,Long Choir,Long Choir holds a wave in sodium amber. Light arrives late and leaves a forwarding address.,95.gif,Afterimages,Sodium Amber,Wave,Dusk,APNG,Paperweather,Rain
96,Salt Hollow,Salt Hollow holds a drift in fog steel. The edge of the picture is where the clock lives.,96.gif,Afterimages,Fog Steel,Drift,Dawn,APNG,Nightwork,Mist
97,New Sheet,New Sheet holds a rise in cinnabar night. The edge of the picture is where the clock lives.,97.gif,Afterimages,Cinnabar Night,Rise,Winter,APNG,Paperweather,Mist
98,Shallow Kiln,Shallow Kiln holds a drift in ice blue. The hour repeats until the color agrees.,98.gif,Afterimages,Ice Blue,Drift,Harvest,APNG,Stormfield,Clear
99,Ashen Pier,Ashen Pier holds a rise in ember red. It turns so the quiet can last.,99.gif,Afterimages,Ember Red,Rise,Dawn,APNG,Mineral,Clear
100,Open Dusk,Open Dusk holds a trail in magenta cyan. One object keeps a promise the sky will not.,100.gif,Afterimages,Magenta Cyan,Trail,Storm,APNG,Stormfield,Rain
101,Fogged Orchard,Fogged Orchard holds a rise in pine snow. The edge of the picture is where the clock lives.,101.gif,Afterimages,Pine Snow,Rise,Dawn,APNG,Harbor,Petals
102,Cold Nave,Cold Nave holds a spin in teal gold. It turns so the quiet can last.,102.gif,Afterimages,Teal Gold,Spin,Void,APNG,Botanica,Petals
103,Pearl Cape,Pearl Cape holds a pulse in wheat dusk. One object keeps a promise the sky will not.,103.gif,Afterimages,Wheat Dusk,Pulse,Fog,APNG,Sanctum,Clear
104,Soft Attic,Soft Attic holds a fall in bark gold. A second thought of the same landscape.,104.gif,Afterimages,Bark Gold,Fall,Dawn,APNG,Emberland,Rain
105,Wind Hour,Wind Hour holds a breath in magenta cyan. A second thought of the same landscape.,105.gif,Afterimages,Magenta Cyan,Breath,Noon,APNG,Emberland,Snow
106,Near Comet,Near Comet holds a wave in blush cream. The dark around it is doing the real work.,106.gif,Afterimages,Blush Cream,Wave,Storm,APNG,Voidlight,Clear
107,Tide River,Tide River holds a trail in ash white. A second thought of the same landscape.,107.gif,Afterimages,Ash White,Trail,Harvest,APNG,Emberland,Sparks
108,Rusted Step,Rusted Step holds a sweep in verdigris copper. The dark around it is doing the real work.,108.gif,Afterimages,Verdigris Copper,Sweep,Noon,APNG,Grove,Petals
109,Wet Delta,Wet Delta holds a breath in verdigris copper. Light arrives late and leaves a forwarding address.,109.gif,Afterimages,Verdigris Copper,Breath,Night,APNG,Sanctum,Petals
110,Fogged Shore,Fogged Shore holds a fall in ice blue. Light arrives late and leaves a forwarding address.,110.gif,Afterimages,Ice Blue,Fall,Dawn,APNG,Sanctum,Sparks
111,Silent Fold,Silent Fold holds a flash in verdigris copper. A second thought of the same landscape.,111.gif,Afterimages,Verdigris Copper,Flash,Night,APNG,Harbor,Mist
112,Known Path,Known Path holds a trail in spectrum stone. Light arrives late and leaves a forwarding address.,112.gif,Afterimages,Spectrum Stone,Trail,Dusk,APNG,Orbitwell,Clear
113,Borrowed Hour,Borrowed Hour holds a rise in sand cyan. It turns so the quiet can last.,113.gif,Afterimages,Sand Cyan,Rise,Noon,APNG,Orbitwell,Snow
114,New Hollow,New Hollow holds a rise in jewel gold. Light arrives late and leaves a forwarding address.,114.gif,Afterimages,Jewel Gold,Rise,Dusk,APNG,Orbitwell,Snow
115,Old Fold,Old Fold holds a breath in brass night. Light arrives late and leaves a forwarding address.,115.gif,Afterimages,Brass Night,Breath,Harvest,APNG,Nightwork,Mist
116,Kept Bridge,Kept Bridge holds a rise in ember red. Nothing in the frame is in a hurry to finish.,116.gif,Afterimages,Ember Red,Rise,Winter,APNG,Sanctum,Mist
117,Wild Attic,Wild Attic holds a trail in coal orange. Nothing in the frame is in a hurry to finish.,117.gif,Afterimages,Coal Orange,Trail,Storm,APNG,Orbitwell,Rain
118,Azure Cliff,Azure Cliff holds a sweep in pine gold. The edge of the picture is where the clock lives.,118.gif,Afterimages,Pine Gold,Sweep,Storm,APNG,Botanica,Rain
119,Little Thread,Little Thread holds a fall in ink silver. The hour repeats until the color agrees.,119.gif,Afterimages,Ink Silver,Fall,Dusk,APNG,Harbor,Petals
120,Great Market,Great Market holds a wave in spectrum stone. It turns so the quiet can last.,120.gif,Afterimages,Spectrum Stone,Wave,Dawn,APNG,Stormfield,Clear
121,Dust Cliff,Dust Cliff holds a fall in jade mist. The dark around it is doing the real work.,121.gif,Afterimages,Jade Mist,Fall,Spring,APNG,Botanica,Petals
122,Kept Rain,Kept Rain holds a flash in ice ember. The loop is shorter than the weather it remembers.,122.gif,Afterimages,Ice Ember,Flash,Dawn,APNG,Nightwork,Clear
123,Amber Rain,Amber Rain holds a sweep in obsidian ember. Nothing in the frame is in a hurry to finish.,123.gif,Afterimages,Obsidian Ember,Sweep,Storm,APNG,Voidlight,Snow
124,Open Sheet,Open Sheet holds a flash in sand cyan. The hour repeats until the color agrees.,124.gif,Afterimages,Sand Cyan,Flash,Dawn,APNG,Stormfield,Petals
125,Little Comet,Little Comet holds a fall in fog steel. The edge of the picture is where the clock lives.,125.gif,Afterimages,Fog Steel,Fall,Void,APNG,Botanica,Mist
126,Smoked Marsh,Smoked Marsh holds a pulse in brass night. The edge of the picture is where the clock lives.,126.gif,Afterimages,Brass Night,Pulse,Dawn,APNG,Harbor,Mist
127,Scarlet Pier,Scarlet Pier holds a pulse in honey stone. Nothing in the frame is in a hurry to finish.,127.gif,Afterimages,Honey Stone,Pulse,Winter,APNG,Waterline,Mist
128,Frosted Flats,Frosted Flats holds a drift in fog steel. Nothing in the frame is in a hurry to finish.,128.gif,Afterimages,Fog Steel,Drift,Spring,APNG,Emberland,Rain
129,Rusted Tilt,Rusted Tilt holds a wave in brass night. The edge of the picture is where the clock lives.,129.gif,Afterimages,Brass Night,Wave,Night,APNG,Orbitwell,Petals
130,Honey Step,Honey Step holds a pulse in fog steel. The dark around it is doing the real work.,130.gif,Afterimages,Fog Steel,Pulse,Noon,APNG,Botanica,Snow
131,Scarlet Crown,Scarlet Crown holds a breath in obsidian ember. One object keeps a promise the sky will not.,131.gif,Afterimages,Obsidian Ember,Breath,Fog,APNG,Nightwork,Petals
132,Hollow Grove,Hollow Grove holds a sweep in candle umber. The dark around it is doing the real work.,132.gif,Afterimages,Candle Umber,Sweep,Noon,APNG,Waterline,Rain
133,Pale Harbor,Pale Harbor holds a rise in cinnabar night. It turns so the quiet can last.,133.gif,Afterimages,Cinnabar Night,Rise,Noon,APNG,Emberland,Mist
134,Long Harbor,Long Harbor holds a drift in pearl steel. Light arrives late and leaves a forwarding address.,134.gif,Afterimages,Pearl Steel,Drift,Night,APNG,Waterline,Snow
135,Long Tower,Long Tower holds a wave in ash white. A second thought of the same landscape.,135.gif,Afterimages,Ash White,Wave,Harvest,APNG,Voidlight,Mist
136,Known Pass,Known Pass holds a drift in ice teal. The loop is shorter than the weather it remembers.,136.gif,Afterimages,Ice Teal,Drift,Winter,APNG,Paperweather,Clear
137,Great Flats,Great Flats holds a spin in honey stone. A small motion keeps the rest of the canvas honest.,137.gif,Afterimages,Honey Stone,Spin,Spring,APNG,Voidlight,Snow
138,Ember Dusk,Ember Dusk holds a rise in blush cream. The hour repeats until the color agrees.,138.gif,Afterimages,Blush Cream,Rise,Storm,APNG,Nightwork,Snow
139,Ashen Spine,Ashen Spine holds a rise in night red. A second thought of the same landscape.,139.gif,Afterimages,Night Red,Rise,Storm,APNG,Voidlight,Rain
140,Glass Knot,Glass Knot holds a spin in night red. Nothing in the frame is in a hurry to finish.,140.gif,Afterimages,Night Red,Spin,Winter,APNG,Emberland,Snow
141,Deep Line,Deep Line holds a pulse in gold leaf. The edge of the picture is where the clock lives.,141.gif,Afterimages,Gold Leaf,Pulse,Storm,APNG,Orbitwell,Sparks
142,Shallow Door,Shallow Door holds a rise in obsidian ember. Nothing in the frame is in a hurry to finish.,142.gif,Afterimages,Obsidian Ember,Rise,Night,APNG,Mineral,Snow
143,Little Inlet,Little Inlet holds a wave in cinnabar night. It turns so the quiet can last.,143.gif,Afterimages,Cinnabar Night,Wave,Night,APNG,Nightwork,Sparks
144,Silver Delta,Silver Delta holds a fall in eclipse copper. The dark around it is doing the real work.,144.gif,Afterimages,Eclipse Copper,Fall,Harvest,APNG,Orbitwell,Rain
145,Azure Canal,Azure Canal holds a spin in magenta fog. A second thought of the same landscape.,145.gif,Afterimages,Magenta Fog,Spin,Harvest,APNG,Emberland,Rain
146,Pearl Lake,Pearl Lake holds a trail in sumi cream. It turns so the quiet can last.,146.gif,Afterimages,Sumi Cream,Trail,Night,APNG,Sanctum,Clear
147,Quiet Cape,Quiet Cape holds a pulse in navy amber. The edge of the picture is where the clock lives.,147.gif,Afterimages,Navy Amber,Pulse,Fog,APNG,Orbitwell,Snow
148,Wind Aisle,Wind Aisle holds a sweep in pine gold. The edge of the picture is where the clock lives.,148.gif,Afterimages,Pine Gold,Sweep,Winter,APNG,Sanctum,Petals
149,Violet Gate,Violet Gate holds a pulse in deep marine. The dark around it is doing the real work.,149.gif,Afterimages,Deep Marine,Pulse,Dusk,APNG,Emberland,Sparks
150,Moonlit Arch,Moonlit Arch holds a pulse in verdigris copper. Light arrives late and leaves a forwarding address.,150.gif,Afterimages,Verdigris Copper,Pulse,Dusk,APNG,Grove,Sparks
151,Smoked Lake,Smoked Lake holds a rise in salt white. The loop is shorter than the weather it remembers.,151.gif,Afterimages,Salt White,Rise,Winter,APNG,Paperweather,Snow
152,Little Cove,Little Cove holds a rise in umber gold. One object keeps a promise the sky will not.,152.gif,Afterimages,Umber Gold,Rise,Fog,APNG,Orbitwell,Rain
153,Starlit Flats,Starlit Flats holds a pulse in jade orange. A second thought of the same landscape.,153.gif,Afterimages,Jade Orange,Pulse,Void,APNG,Paperweather,Sparks
154,Wet Comet,Wet Comet holds a drift in spectrum stone. The dark around it is doing the real work.,154.gif,Afterimages,Spectrum Stone,Drift,Night,APNG,Orbitwell,Rain
155,Second Watch,Second Watch holds a drift in sand cyan. Nothing in the frame is in a hurry to finish.,155.gif,Afterimages,Sand Cyan,Drift,Winter,APNG,Paperweather,Rain
156,Olive Ridge,Olive Ridge holds a pulse in spectrum stone. One object keeps a promise the sky will not.,156.gif,Afterimages,Spectrum Stone,Pulse,Dusk,APNG,Voidlight,Mist
157,Dust Breach,Dust Breach holds a fall in sumi cream. The dark around it is doing the real work.,157.gif,Afterimages,Sumi Cream,Fall,Spring,APNG,Mineral,Sparks
158,Paper Delta,Paper Delta holds a wave in ink silver. Nothing in the frame is in a hurry to finish.,158.gif,Afterimages,Ink Silver,Wave,Fog,APNG,Nightwork,Petals
159,Deep Tower,Deep Tower holds a pulse in rust sodium. Light arrives late and leaves a forwarding address.,159.gif,Afterimages,Rust Sodium,Pulse,Noon,APNG,Mineral,Snow
160,Glass Bloom,Glass Bloom holds a wave in pine snow. The edge of the picture is where the clock lives.,160.gif,Afterimages,Pine Snow,Wave,Dawn,APNG,Stormfield,Mist
161,Broken Lake,Broken Lake holds a spin in glass summer. Nothing in the frame is in a hurry to finish.,161.gif,Afterimages,Glass Summer,Spin,Spring,APNG,Waterline,Snow
162,High Cape,High Cape holds a flash in glass summer. One object keeps a promise the sky will not.,162.gif,Afterimages,Glass Summer,Flash,Fog,APNG,Mineral,Petals
163,Spark Road,Spark Road holds a sweep in ice teal. Nothing in the frame is in a hurry to finish.,163.gif,Afterimages,Ice Teal,Sweep,Void,APNG,Botanica,Petals
164,Starlit Vein,Starlit Vein holds a sweep in pearl ink. Nothing in the frame is in a hurry to finish.,164.gif,Afterimages,Pearl Ink,Sweep,Dawn,APNG,Paperweather,Mist
165,Pearl Ridge,Pearl Ridge holds a rise in ice blue. A small motion keeps the rest of the canvas honest.,165.gif,Afterimages,Ice Blue,Rise,Spring,APNG,Nightwork,Rain
166,Old Bloom,Old Bloom holds a drift in pearl steel. The edge of the picture is where the clock lives.,166.gif,Afterimages,Pearl Steel,Drift,Void,APNG,Grove,Clear
167,Distant Arch,Distant Arch holds a rise in obsidian chrome. The dark around it is doing the real work.,167.gif,Afterimages,Obsidian Chrome,Rise,Winter,APNG,Paperweather,Snow
168,Distant Harbor,Distant Harbor holds a flash in deep marine. The dark around it is doing the real work.,168.gif,Afterimages,Deep Marine,Flash,Fog,APNG,Emberland,Mist
169,Silent Sheet,Silent Sheet holds a drift in pine snow. Nothing in the frame is in a hurry to finish.,169.gif,Afterimages,Pine Snow,Drift,Winter,APNG,Harbor,Mist
170,Second Step,Second Step holds a breath in storm brass. It turns so the quiet can last.,170.gif,Afterimages,Storm Brass,Breath,Dusk,APNG,Waterline,Rain
171,Dust Cape,Dust Cape holds a sweep in umber gold. The edge of the picture is where the clock lives.,171.gif,Afterimages,Umber Gold,Sweep,Storm,APNG,Mineral,Mist
172,Golden Orchard,Golden Orchard holds a spin in aurora violet. Light arrives late and leaves a forwarding address.,172.gif,Afterimages,Aurora Violet,Spin,Storm,APNG,Stormfield,Petals
173,Slow Harbor,Slow Harbor holds a wave in bark gold. One object keeps a promise the sky will not.,173.gif,Afterimages,Bark Gold,Wave,Storm,APNG,Paperweather,Sparks
