tokenID,name,description,file_name,attributes[Wove],attributes[Guilloche],attributes[Bust],attributes[Surcharge],attributes[Aspect],attributes[Device],attributes[Cancel]
86,Perfin #86,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,86.gif,Sage Wove,Sunburst,Keeper,Carmine Bar,Stern,Goggles,Killer Bars
87,Perfin #87,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,87.gif,Lilac Wove,Wave Engine,Keeper,Carmine Bar,Stern,Bare Device,Circular Date
88,Perfin #88,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,88.gif,Rose Wove,Rose Engine,Clerk,Prussian Band,Calm,Medal,Wavy Lines
89,Perfin #89,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,89.gif,Buff Wove,Sunburst,Signal,Orange Triangle,Wink,Bare Device,Wavy Lines
90,Perfin #90,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,90.gif,Buff Wove,Geometric Engine,Clerk,Violet Oval,Wink,Pipe,Circular Date
91,Perfin #91,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,91.gif,Ivory Wove,Lattice,Captain,Carmine Bar,Shout,Bare Device,Circular Date
92,Perfin #92,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,92.gif,Azure Wove,Lattice,Botanist,Orange Triangle,Calm,Goggles,Circular Date
93,Perfin #93,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,93.gif,Rose Wove,Geometric Engine,Clerk,Violet Oval,Stern,Spectacles,Mint Uncancelled
94,Perfin #94,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,94.gif,Lilac Wove,Rose Engine,Clerk,Prussian Band,Calm,Goggles,Mint Uncancelled
95,Perfin #95,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,95.gif,Rose Wove,Sunburst,Clerk,Carmine Bar,Smile,Pipe,Wavy Lines
96,Perfin #96,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,96.gif,Azure Wove,Geometric Engine,Clerk,Violet Oval,Shout,Bare Device,Mint Uncancelled
97,Perfin #97,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,97.gif,Buff Wove,Sunburst,Pilot,No Surcharge,Wink,Medal,Killer Bars
98,Perfin #98,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,98.gif,Sage Wove,Sunburst,Keeper,Orange Triangle,Calm,Cockade,Circular Date
99,Perfin #99,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,99.gif,Grey Wove,Rose Engine,Pilot,No Surcharge,Wink,Bare Device,Circular Date
100,Perfin #100,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,100.gif,Sage Wove,Lattice,Warden,Carmine Bar,Smile,Spectacles,Wavy Lines
101,Perfin #101,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,101.gif,Grey Wove,Value Tablet,Botanist,Prussian Band,Smile,Pipe,Wavy Lines
102,Perfin #102,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,102.gif,Lilac Wove,Sunburst,Keeper,No Surcharge,Smile,Medal,Killer Bars
103,Perfin #103,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,103.gif,Grey Wove,Sunburst,Captain,Carmine Bar,Wink,Medal,Mute Killer
104,Perfin #104,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,104.gif,Azure Wove,Sunburst,Mapper,No Surcharge,Shout,Medal,Mint Uncancelled
105,Perfin #105,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,105.gif,Lilac Wove,Wave Engine,Keeper,Orange Triangle,Calm,Goggles,Mint Uncancelled
106,Perfin #106,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,106.gif,Ivory Wove,Geometric Engine,Signal,No Surcharge,Shout,Goggles,Mint Uncancelled
107,Perfin #107,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,107.gif,Ivory Wove,Sunburst,Keeper,No Surcharge,Smile,Bare Device,Mint Uncancelled
108,Perfin #108,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,108.gif,Pearl Wove,Lattice,Warden,Prussian Band,Wink,Goggles,Mint Uncancelled
109,Perfin #109,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,109.gif,Pearl Wove,Sunburst,Clerk,Orange Triangle,Smile,Bare Device,Mute Killer
110,Perfin #110,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,110.gif,Sage Wove,Rose Engine,Pilot,Orange Triangle,Stern,Bare Device,Circular Date
111,Perfin #111,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,111.gif,Ivory Wove,Lattice,Pilot,Orange Triangle,Glance,Medal,Circular Date
112,Perfin #112,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,112.gif,Grey Wove,Rose Engine,Keeper,No Surcharge,Glance,Goggles,Wavy Lines
113,Perfin #113,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,113.gif,Lilac Wove,Wave Engine,Warden,Violet Oval,Calm,Bare Device,Killer Bars
114,Perfin #114,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,114.gif,Ivory Wove,Value Tablet,Signal,Carmine Bar,Wink,Spectacles,Circular Date
115,Perfin #115,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,115.gif,Buff Wove,Geometric Engine,Captain,No Surcharge,Wink,Goggles,Killer Bars
116,Perfin #116,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,116.gif,Sage Wove,Geometric Engine,Pilot,Orange Triangle,Shout,Goggles,Mint Uncancelled
117,Perfin #117,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,117.gif,Ivory Wove,Sunburst,Signal,Violet Oval,Wink,Cockade,Mint Uncancelled
118,Perfin #118,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,118.gif,Ivory Wove,Value Tablet,Botanist,Orange Triangle,Shout,Goggles,Mint Uncancelled
119,Perfin #119,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,119.gif,Ivory Wove,Sunburst,Botanist,Carmine Bar,Calm,Spectacles,Mint Uncancelled
120,Perfin #120,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,120.gif,Azure Wove,Rose Engine,Botanist,Carmine Bar,Wink,Pipe,Mint Uncancelled
121,Perfin #121,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,121.gif,Rose Wove,Geometric Engine,Signal,No Surcharge,Stern,Medal,Mint Uncancelled
122,Perfin #122,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,122.gif,Ivory Wove,Lattice,Mapper,Prussian Band,Shout,Bare Device,Mute Killer
123,Perfin #123,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,123.gif,Sage Wove,Lattice,Keeper,Carmine Bar,Wink,Medal,Mute Killer
124,Perfin #124,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,124.gif,Grey Wove,Geometric Engine,Clerk,No Surcharge,Wink,Cockade,Mute Killer
125,Perfin #125,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,125.gif,Lilac Wove,Sunburst,Signal,No Surcharge,Calm,Goggles,Mint Uncancelled
126,Perfin #126,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,126.gif,Lilac Wove,Wave Engine,Captain,Prussian Band,Wink,Spectacles,Mint Uncancelled
