tokenID,name,description,file_name,attributes[Pulp],attributes[Fleck],attributes[Fold],attributes[Score],attributes[Facet],attributes[Seal],attributes[Draft]
11,Fold #11,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,11.gif,Moss Washi,Laid Stripe,Hare,Radial Score,Tip Wash,Hanko,Corner Lift
12,Fold #12,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,12.gif,Peach Washi,Cloud Wash,Frog,Grid Score,Bare Facet,Twin Cord,Flutter
13,Fold #13,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,13.gif,Gold Washi,Kozo Fiber,Lotus,Valley Fold,Gore Wash,No Seal,Still Air
14,Fold #14,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,14.gif,Vermilion Washi,Gold Dust,Kite,Mountain Fold,Body Wash,Mizuhiki Loop,Loose Scrap
15,Fold #15,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,15.gif,Frost Washi,Plain Sheet,Beetle,Crease Diagram,Wing Wash,Tassel,Gust
16,Fold #16,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,16.gif,Ink Washi,Speckle,Fan,No Score,Band Wash,Hanko,Corner Lift
17,Fold #17,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,17.gif,Frost Washi,Laid Stripe,Lotus,No Score,Band Wash,Mizuhiki Loop,Still Air
18,Fold #18,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,18.gif,Cream Washi,Speckle,Lotus,Grid Score,Body Wash,Mizuhiki Loop,Flutter
19,Fold #19,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,19.gif,Indigo Washi,Laid Stripe,Frog,No Score,Tip Wash,Tassel,Still Air
20,Fold #20,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,20.gif,Peach Washi,Plain Sheet,Fan,Crease Diagram,Bare Facet,Tassel,Flutter
21,Fold #21,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,21.gif,Cream Washi,Cloud Wash,Frog,Crease Diagram,Wing Wash,Tassel,Loose Scrap
22,Fold #22,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,22.gif,Vermilion Washi,Speckle,Kite,No Score,Band Wash,No Seal,Corner Lift
23,Fold #23,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,23.gif,Ink Washi,Kozo Fiber,Hare,No Score,Gore Wash,No Seal,Corner Lift
24,Fold #24,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,24.gif,Vermilion Washi,Plain Sheet,Boat,Radial Score,Body Wash,Mizuhiki Loop,Corner Lift
25,Fold #25,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,25.gif,Gold Washi,Plain Sheet,Beetle,Grid Score,Wing Wash,No Seal,Corner Lift
26,Fold #26,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,26.gif,Cream Washi,Kozo Fiber,Frog,Radial Score,Bare Facet,Hanko,Corner Lift
27,Fold #27,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,27.gif,Indigo Washi,Plain Sheet,Fan,No Score,Gore Wash,Hanko,Gust
28,Fold #28,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,28.gif,Cream Washi,Kozo Fiber,Fan,No Score,Bare Facet,Hanko,Flutter
29,Fold #29,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,29.gif,Cream Washi,Plain Sheet,Beetle,Mountain Fold,Gore Wash,Tassel,Flutter
30,Fold #30,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,30.gif,Moss Washi,Speckle,Kite,Crease Diagram,Wing Wash,Tassel,Gust
31,Fold #31,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,31.gif,Frost Washi,Kozo Fiber,Fan,No Score,Gore Wash,Twin Cord,Corner Lift
32,Fold #32,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,32.gif,Cream Washi,Speckle,Fan,Valley Fold,Bare Facet,Twin Cord,Loose Scrap
33,Fold #33,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,33.gif,Cream Washi,Cloud Wash,Boat,Crease Diagram,Body Wash,No Seal,Loose Scrap
34,Fold #34,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,34.gif,Ink Washi,Laid Stripe,Frog,Mountain Fold,Wing Wash,No Seal,Corner Lift
35,Fold #35,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,35.gif,Peach Washi,Cloud Wash,Beetle,Mountain Fold,Wing Wash,Hanko,Still Air
36,Fold #36,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,36.gif,Vermilion Washi,Speckle,Crane,Crease Diagram,Gore Wash,Tassel,Loose Scrap
37,Fold #37,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,37.gif,Peach Washi,Speckle,Frog,Valley Fold,Band Wash,Tassel,Flutter
38,Fold #38,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,38.gif,Cream Washi,Plain Sheet,Lotus,No Score,Tip Wash,No Seal,Flutter
39,Fold #39,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,39.gif,Peach Washi,Laid Stripe,Beetle,Grid Score,Band Wash,Twin Cord,Corner Lift
40,Fold #40,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,40.gif,Peach Washi,Speckle,Crane,Valley Fold,Wing Wash,Tassel,Loose Scrap
41,Fold #41,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,41.gif,Vermilion Washi,Kozo Fiber,Crane,Crease Diagram,Tip Wash,Twin Cord,Gust
42,Fold #42,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,42.gif,Indigo Washi,Cloud Wash,Frog,Valley Fold,Body Wash,Tassel,Loose Scrap
43,Fold #43,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,43.gif,Ink Washi,Kozo Fiber,Hare,Mountain Fold,Body Wash,No Seal,Loose Scrap
44,Fold #44,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,44.gif,Ink Washi,Gold Dust,Boat,Mountain Fold,Body Wash,No Seal,Corner Lift
45,Fold #45,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,45.gif,Frost Washi,Cloud Wash,Frog,No Score,Bare Facet,Mizuhiki Loop,Still Air
46,Fold #46,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,46.gif,Vermilion Washi,Kozo Fiber,Boat,Crease Diagram,Bare Facet,No Seal,Loose Scrap
47,Fold #47,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,47.gif,Peach Washi,Plain Sheet,Kite,No Score,Gore Wash,Hanko,Corner Lift
48,Fold #48,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,48.gif,Frost Washi,Cloud Wash,Beetle,Mountain Fold,Bare Facet,Tassel,Gust
49,Fold #49,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,49.gif,Moss Washi,Plain Sheet,Fan,Grid Score,Bare Facet,Mizuhiki Loop,Corner Lift
50,Fold #50,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,50.gif,Cream Washi,Gold Dust,Boat,Radial Score,Wing Wash,Twin Cord,Corner Lift
51,Fold #51,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,51.gif,Frost Washi,Speckle,Hare,Mountain Fold,Body Wash,Hanko,Loose Scrap
52,Fold #52,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,52.gif,Gold Washi,Plain Sheet,Crane,Grid Score,Body Wash,Twin Cord,Still Air
53,Fold #53,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,53.gif,Indigo Washi,Laid Stripe,Crane,Grid Score,Bare Facet,No Seal,Still Air
54,Fold #54,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,54.gif,Moss Washi,Speckle,Lotus,Valley Fold,Gore Wash,Mizuhiki Loop,Flutter
55,Fold #55,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,55.gif,Frost Washi,Kozo Fiber,Boat,Crease Diagram,Gore Wash,Hanko,Loose Scrap
56,Fold #56,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,56.gif,Peach Washi,Gold Dust,Beetle,Mountain Fold,Band Wash,No Seal,Gust
57,Fold #57,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,57.gif,Cream Washi,Plain Sheet,Crane,Mountain Fold,Tip Wash,Mizuhiki Loop,Corner Lift
58,Fold #58,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,58.gif,Gold Washi,Cloud Wash,Lotus,No Score,Wing Wash,No Seal,Still Air
59,Fold #59,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,59.gif,Moss Washi,Cloud Wash,Frog,Mountain Fold,Gore Wash,Hanko,Still Air
60,Fold #60,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,60.gif,Gold Washi,Gold Dust,Crane,Valley Fold,Bare Facet,No Seal,Corner Lift
61,Fold #61,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,61.gif,Vermilion Washi,Kozo Fiber,Boat,No Score,Body Wash,No Seal,Corner Lift
62,Fold #62,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,62.gif,Moss Washi,Speckle,Fan,Radial Score,Bare Facet,Hanko,Still Air
63,Fold #63,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,63.gif,Indigo Washi,Speckle,Fan,Mountain Fold,Bare Facet,Twin Cord,Flutter
64,Fold #64,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,64.gif,Moss Washi,Laid Stripe,Fan,Radial Score,Body Wash,Tassel,Flutter
65,Fold #65,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,65.gif,Gold Washi,Laid Stripe,Hare,Mountain Fold,Bare Facet,No Seal,Flutter
66,Fold #66,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,66.gif,Frost Washi,Speckle,Frog,Radial Score,Body Wash,Mizuhiki Loop,Flutter
67,Fold #67,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,67.gif,Gold Washi,Gold Dust,Frog,Mountain Fold,Gore Wash,Tassel,Gust
68,Fold #68,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,68.gif,Peach Washi,Plain Sheet,Kite,Crease Diagram,Body Wash,Hanko,Corner Lift
69,Fold #69,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,69.gif,Cream Washi,Cloud Wash,Kite,Grid Score,Body Wash,Mizuhiki Loop,Loose Scrap
70,Fold #70,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,70.gif,Indigo Washi,Speckle,Hare,Mountain Fold,Tip Wash,No Seal,Flutter
71,Fold #71,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,71.gif,Frost Washi,Plain Sheet,Frog,Grid Score,Tip Wash,Twin Cord,Gust
72,Fold #72,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,72.gif,Cream Washi,Laid Stripe,Fan,Valley Fold,Wing Wash,Twin Cord,Gust
73,Fold #73,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,73.gif,Frost Washi,Speckle,Fan,No Score,Bare Facet,Mizuhiki Loop,Flutter
74,Fold #74,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,74.gif,Gold Washi,Laid Stripe,Beetle,Grid Score,Gore Wash,Hanko,Flutter
75,Fold #75,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,75.gif,Peach Washi,Laid Stripe,Frog,No Score,Bare Facet,Tassel,Gust
76,Fold #76,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,76.gif,Cream Washi,Gold Dust,Boat,Mountain Fold,Wing Wash,No Seal,Flutter
77,Fold #77,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,77.gif,Moss Washi,Gold Dust,Fan,No Score,Bare Facet,Hanko,Loose Scrap
78,Fold #78,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,78.gif,Moss Washi,Cloud Wash,Beetle,Radial Score,Band Wash,Tassel,Loose Scrap
79,Fold #79,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,79.gif,Cream Washi,Cloud Wash,Boat,Mountain Fold,Gore Wash,Twin Cord,Gust
80,Fold #80,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,80.gif,Cream Washi,Laid Stripe,Beetle,Valley Fold,Wing Wash,No Seal,Loose Scrap
81,Fold #81,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,81.gif,Vermilion Washi,Kozo Fiber,Boat,Grid Score,Band Wash,Twin Cord,Loose Scrap
82,Fold #82,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,82.gif,Vermilion Washi,Plain Sheet,Fan,No Score,Bare Facet,No Seal,Still Air
83,Fold #83,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,83.gif,Vermilion Washi,Laid Stripe,Fan,No Score,Wing Wash,Hanko,Loose Scrap
84,Fold #84,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,84.gif,Moss Washi,Kozo Fiber,Frog,Grid Score,Body Wash,No Seal,Corner Lift
85,Fold #85,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,85.gif,Peach Washi,Kozo Fiber,Beetle,Grid Score,Bare Facet,No Seal,Corner Lift
86,Fold #86,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,86.gif,Peach Washi,Plain Sheet,Boat,Mountain Fold,Wing Wash,Tassel,Corner Lift
87,Fold #87,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,87.gif,Moss Washi,Laid Stripe,Crane,Valley Fold,Bare Facet,Tassel,Flutter
88,Fold #88,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,88.gif,Indigo Washi,Plain Sheet,Beetle,Mountain Fold,Tip Wash,Mizuhiki Loop,Flutter
89,Fold #89,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,89.gif,Vermilion Washi,Kozo Fiber,Boat,Radial Score,Bare Facet,Tassel,Still Air
90,Fold #90,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,90.gif,Moss Washi,Laid Stripe,Boat,No Score,Body Wash,Hanko,Corner Lift
91,Fold #91,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,91.gif,Moss Washi,Kozo Fiber,Beetle,No Score,Wing Wash,Mizuhiki Loop,Still Air
92,Fold #92,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,92.gif,Gold Washi,Laid Stripe,Crane,Crease Diagram,Bare Facet,No Seal,Loose Scrap
93,Fold #93,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,93.gif,Frost Washi,Kozo Fiber,Lotus,Mountain Fold,Gore Wash,Hanko,Corner Lift
94,Fold #94,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,94.gif,Cream Washi,Kozo Fiber,Frog,Mountain Fold,Wing Wash,Tassel,Still Air
95,Fold #95,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,95.gif,Moss Washi,Speckle,Fan,Crease Diagram,Wing Wash,Twin Cord,Loose Scrap
96,Fold #96,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,96.gif,Cream Washi,Speckle,Fan,No Score,Body Wash,No Seal,Flutter
97,Fold #97,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,97.gif,Moss Washi,Laid Stripe,Frog,Grid Score,Wing Wash,Mizuhiki Loop,Still Air
98,Fold #98,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,98.gif,Peach Washi,Gold Dust,Crane,Valley Fold,Bare Facet,Tassel,Still Air
99,Fold #99,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,99.gif,Indigo Washi,Laid Stripe,Frog,Mountain Fold,Tip Wash,Twin Cord,Corner Lift
100,Fold #100,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,100.gif,Gold Washi,Gold Dust,Kite,Valley Fold,Bare Facet,Mizuhiki Loop,Gust
101,Fold #101,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,101.gif,Frost Washi,Laid Stripe,Beetle,Grid Score,Band Wash,Tassel,Loose Scrap
102,Fold #102,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,102.gif,Frost Washi,Speckle,Boat,No Score,Wing Wash,No Seal,Still Air
103,Fold #103,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,103.gif,Frost Washi,Speckle,Beetle,Grid Score,Gore Wash,Tassel,Flutter
104,Fold #104,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,104.gif,Cream Washi,Plain Sheet,Hare,Radial Score,Tip Wash,Twin Cord,Corner Lift
105,Fold #105,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,105.gif,Moss Washi,Cloud Wash,Hare,Crease Diagram,Tip Wash,Tassel,Gust
106,Fold #106,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,106.gif,Cream Washi,Gold Dust,Kite,Crease Diagram,Wing Wash,No Seal,Still Air
107,Fold #107,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,107.gif,Indigo Washi,Speckle,Frog,Valley Fold,Band Wash,Twin Cord,Corner Lift
108,Fold #108,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,108.gif,Frost Washi,Laid Stripe,Kite,Radial Score,Tip Wash,Twin Cord,Still Air
109,Fold #109,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,109.gif,Vermilion Washi,Cloud Wash,Fan,Grid Score,Bare Facet,Twin Cord,Loose Scrap
110,Fold #110,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,110.gif,Ink Washi,Gold Dust,Frog,Crease Diagram,Wing Wash,Hanko,Flutter
111,Fold #111,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,111.gif,Vermilion Washi,Plain Sheet,Crane,Crease Diagram,Bare Facet,Hanko,Flutter
112,Fold #112,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,112.gif,Moss Washi,Gold Dust,Hare,No Score,Wing Wash,No Seal,Gust
113,Fold #113,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,113.gif,Frost Washi,Speckle,Fan,Mountain Fold,Body Wash,Tassel,Still Air
114,Fold #114,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,114.gif,Peach Washi,Speckle,Lotus,No Score,Wing Wash,Mizuhiki Loop,Flutter
115,Fold #115,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,115.gif,Cream Washi,Gold Dust,Beetle,No Score,Wing Wash,No Seal,Still Air
116,Fold #116,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,116.gif,Vermilion Washi,Plain Sheet,Beetle,Valley Fold,Bare Facet,Hanko,Still Air
117,Fold #117,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,117.gif,Indigo Washi,Plain Sheet,Fan,Radial Score,Bare Facet,Twin Cord,Flutter
118,Fold #118,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,118.gif,Indigo Washi,Gold Dust,Frog,Mountain Fold,Tip Wash,Hanko,Loose Scrap
119,Fold #119,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,119.gif,Cream Washi,Cloud Wash,Beetle,Valley Fold,Body Wash,Hanko,Gust
120,Fold #120,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,120.gif,Peach Washi,Plain Sheet,Frog,Crease Diagram,Tip Wash,No Seal,Corner Lift
121,Fold #121,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,121.gif,Indigo Washi,Gold Dust,Hare,Crease Diagram,Bare Facet,Hanko,Loose Scrap
122,Fold #122,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,122.gif,Vermilion Washi,Plain Sheet,Fan,Grid Score,Bare Facet,Mizuhiki Loop,Flutter
123,Fold #123,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,123.gif,Peach Washi,Cloud Wash,Beetle,Radial Score,Bare Facet,Tassel,Corner Lift
124,Fold #124,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,124.gif,Vermilion Washi,Cloud Wash,Kite,No Score,Body Wash,No Seal,Corner Lift
125,Fold #125,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,125.gif,Indigo Washi,Plain Sheet,Hare,Crease Diagram,Body Wash,Twin Cord,Corner Lift
126,Fold #126,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,126.gif,Indigo Washi,Plain Sheet,Fan,Crease Diagram,Band Wash,Hanko,Loose Scrap
127,Fold #127,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,127.gif,Peach Washi,Speckle,Kite,Grid Score,Band Wash,Twin Cord,Still Air
128,Fold #128,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,128.gif,Cream Washi,Plain Sheet,Beetle,No Score,Wing Wash,No Seal,Flutter
129,Fold #129,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,129.gif,Peach Washi,Plain Sheet,Crane,Grid Score,Bare Facet,No Seal,Loose Scrap
