tokenID,name,description,file_name,attributes[Cloth],attributes[Ember],attributes[Cast],attributes[Hinge],attributes[Cutwork],attributes[Leaf],attributes[Soot]
27,Shade #27,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,27.gif,Dusk Screen,Oil Lamp,Demon,No Hinge,Vine Lace,Bare Hide,Clear Air
28,Shade #28,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,28.gif,Saffron Screen,Coal Glow,Sage,Pearl Brad,Dot Lace,Gold Rim,Lamp Haze
29,Shade #29,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,29.gif,Dusk Screen,Oil Lamp,Knight,Iron Brad,Diamond Lace,Bare Hide,Clear Air
30,Shade #30,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,30.gif,Indigo Screen,Moon Glow,Ogre,Rust Brad,Dot Lace,Bare Hide,Smoke Ribbon
31,Shade #31,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,31.gif,Smoke Screen,Forge Glow,Bird,Iron Brad,Vine Lace,Gold Tips,Spark Rise
32,Shade #32,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,32.gif,Dusk Screen,Hearth Glow,Clown,Iron Brad,Star Lace,Bare Hide,Smoke Ribbon
33,Shade #33,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,33.gif,Dusk Screen,Coal Glow,Sage,Pearl Brad,Solid Hide,Bare Hide,Spark Rise
34,Shade #34,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,34.gif,Parchment Screen,Forge Glow,Sage,Pearl Brad,Solid Hide,Gold Tips,Clear Air
35,Shade #35,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,35.gif,Indigo Screen,Coal Glow,Demon,No Hinge,Vine Lace,Gold Tips,Lamp Haze
36,Shade #36,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,36.gif,Smoke Screen,Coal Glow,Harper,Pearl Brad,Solid Hide,Gold Rim,Spark Rise
37,Shade #37,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,37.gif,Brass Screen,Dawn Glow,Bird,No Hinge,Diamond Lace,Bare Hide,Clear Air
38,Shade #38,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,38.gif,Smoke Screen,Hearth Glow,Sage,Rust Brad,Solid Hide,Gold Tips,Spark Rise
39,Shade #39,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,39.gif,Smoke Screen,Forge Glow,Clown,No Hinge,Solid Hide,Gold Dust,Soot Motes
40,Shade #40,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,40.gif,Smoke Screen,Forge Glow,Ogre,No Hinge,Solid Hide,Gold Tips,Spark Rise
41,Shade #41,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,41.gif,Ash Screen,Forge Glow,Ogre,Brass Brad,Solid Hide,Full Leaf,Lamp Haze
42,Shade #42,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,42.gif,Parchment Screen,Forge Glow,Sage,Rust Brad,Solid Hide,Gold Tips,Lamp Haze
43,Shade #43,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,43.gif,Indigo Screen,Hearth Glow,Knight,Pearl Brad,Dot Lace,Bare Hide,Spark Rise
44,Shade #44,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,44.gif,Indigo Screen,Oil Lamp,Demon,Pearl Brad,Star Lace,Gold Tips,Spark Rise
45,Shade #45,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,45.gif,Brass Screen,Hearth Glow,Bird,Iron Brad,Star Lace,Gold Tips,Lamp Haze
46,Shade #46,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,46.gif,Saffron Screen,Moon Glow,Ogre,No Hinge,Diamond Lace,Gold Dust,Clear Air
47,Shade #47,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,47.gif,Dusk Screen,Forge Glow,Bride,Brass Brad,Solid Hide,Bare Hide,Soot Motes
48,Shade #48,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,48.gif,Smoke Screen,Coal Glow,Bride,No Hinge,Dot Lace,Full Leaf,Clear Air
49,Shade #49,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,49.gif,Dusk Screen,Dawn Glow,Ogre,Brass Brad,Diamond Lace,Gold Tips,Lamp Haze
50,Shade #50,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,50.gif,Smoke Screen,Dawn Glow,Clown,Brass Brad,Diamond Lace,Full Leaf,Lamp Haze
51,Shade #51,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,51.gif,Dusk Screen,Hearth Glow,Clown,Rust Brad,Dot Lace,Gold Dust,Soot Motes
52,Shade #52,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,52.gif,Indigo Screen,Moon Glow,Harper,Iron Brad,Dot Lace,Bare Hide,Smoke Ribbon
53,Shade #53,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,53.gif,Brass Screen,Forge Glow,Ogre,Rust Brad,Star Lace,Gold Rim,Soot Motes
54,Shade #54,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,54.gif,Dusk Screen,Forge Glow,Sage,No Hinge,Solid Hide,Gold Dust,Lamp Haze
55,Shade #55,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,55.gif,Parchment Screen,Oil Lamp,Ogre,Brass Brad,Solid Hide,Bare Hide,Soot Motes
56,Shade #56,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,56.gif,Parchment Screen,Forge Glow,Sage,No Hinge,Dot Lace,Full Leaf,Clear Air
57,Shade #57,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,57.gif,Parchment Screen,Oil Lamp,Harper,No Hinge,Vine Lace,Bare Hide,Spark Rise
58,Shade #58,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,58.gif,Rose Screen,Oil Lamp,Demon,Rust Brad,Dot Lace,Gold Tips,Clear Air
59,Shade #59,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,59.gif,Saffron Screen,Oil Lamp,Clown,Rust Brad,Diamond Lace,Gold Dust,Clear Air
60,Shade #60,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,60.gif,Saffron Screen,Forge Glow,Ogre,Brass Brad,Dot Lace,Bare Hide,Spark Rise
61,Shade #61,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,61.gif,Ash Screen,Coal Glow,Bride,Pearl Brad,Solid Hide,Gold Rim,Soot Motes
62,Shade #62,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,62.gif,Dusk Screen,Oil Lamp,Harper,Brass Brad,Star Lace,Gold Rim,Smoke Ribbon
63,Shade #63,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,63.gif,Parchment Screen,Dawn Glow,Ogre,Brass Brad,Dot Lace,Full Leaf,Spark Rise
64,Shade #64,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,64.gif,Indigo Screen,Moon Glow,Ogre,Pearl Brad,Vine Lace,Gold Rim,Spark Rise
65,Shade #65,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,65.gif,Dusk Screen,Moon Glow,Demon,Brass Brad,Dot Lace,Full Leaf,Clear Air
66,Shade #66,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,66.gif,Indigo Screen,Dawn Glow,Bird,Brass Brad,Star Lace,Bare Hide,Clear Air
67,Shade #67,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,67.gif,Brass Screen,Moon Glow,Demon,No Hinge,Diamond Lace,Gold Rim,Soot Motes
68,Shade #68,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,68.gif,Indigo Screen,Hearth Glow,Clown,Brass Brad,Vine Lace,Gold Dust,Clear Air
69,Shade #69,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,69.gif,Ash Screen,Forge Glow,Clown,Pearl Brad,Dot Lace,Gold Tips,Smoke Ribbon
70,Shade #70,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,70.gif,Dusk Screen,Forge Glow,Clown,No Hinge,Vine Lace,Gold Rim,Clear Air
71,Shade #71,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,71.gif,Indigo Screen,Coal Glow,Bird,Pearl Brad,Solid Hide,Full Leaf,Spark Rise
72,Shade #72,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,72.gif,Smoke Screen,Coal Glow,Demon,Brass Brad,Diamond Lace,Full Leaf,Clear Air
73,Shade #73,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,73.gif,Smoke Screen,Moon Glow,Demon,No Hinge,Diamond Lace,Gold Tips,Soot Motes
74,Shade #74,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,74.gif,Parchment Screen,Hearth Glow,Clown,Iron Brad,Diamond Lace,Bare Hide,Soot Motes
75,Shade #75,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,75.gif,Rose Screen,Coal Glow,Ogre,No Hinge,Solid Hide,Gold Rim,Clear Air
76,Shade #76,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,76.gif,Rose Screen,Hearth Glow,Bride,Rust Brad,Star Lace,Gold Dust,Clear Air
77,Shade #77,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,77.gif,Saffron Screen,Forge Glow,Knight,Pearl Brad,Solid Hide,Full Leaf,Clear Air
78,Shade #78,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,78.gif,Saffron Screen,Moon Glow,Harper,Pearl Brad,Star Lace,Gold Dust,Lamp Haze
79,Shade #79,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,79.gif,Dusk Screen,Moon Glow,Clown,Pearl Brad,Solid Hide,Bare Hide,Lamp Haze
80,Shade #80,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,80.gif,Parchment Screen,Oil Lamp,Harper,Rust Brad,Star Lace,Gold Tips,Smoke Ribbon
81,Shade #81,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,81.gif,Parchment Screen,Hearth Glow,Clown,Pearl Brad,Vine Lace,Gold Tips,Clear Air
82,Shade #82,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,82.gif,Indigo Screen,Dawn Glow,Harper,No Hinge,Solid Hide,Gold Rim,Spark Rise
83,Shade #83,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,83.gif,Saffron Screen,Forge Glow,Clown,No Hinge,Diamond Lace,Gold Tips,Smoke Ribbon
84,Shade #84,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,84.gif,Indigo Screen,Coal Glow,Ogre,Brass Brad,Solid Hide,Gold Tips,Spark Rise
85,Shade #85,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,85.gif,Saffron Screen,Oil Lamp,Demon,Rust Brad,Solid Hide,Gold Rim,Smoke Ribbon
86,Shade #86,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,86.gif,Saffron Screen,Forge Glow,Ogre,Rust Brad,Solid Hide,Full Leaf,Lamp Haze
87,Shade #87,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,87.gif,Parchment Screen,Moon Glow,Knight,Pearl Brad,Dot Lace,Gold Rim,Smoke Ribbon
88,Shade #88,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,88.gif,Brass Screen,Dawn Glow,Knight,No Hinge,Star Lace,Gold Tips,Smoke Ribbon
89,Shade #89,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,89.gif,Saffron Screen,Dawn Glow,Demon,No Hinge,Star Lace,Gold Dust,Spark Rise
90,Shade #90,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,90.gif,Indigo Screen,Forge Glow,Demon,Brass Brad,Solid Hide,Full Leaf,Lamp Haze
91,Shade #91,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,91.gif,Saffron Screen,Dawn Glow,Sage,Rust Brad,Dot Lace,Full Leaf,Soot Motes
92,Shade #92,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,92.gif,Saffron Screen,Oil Lamp,Harper,Rust Brad,Solid Hide,Bare Hide,Soot Motes
93,Shade #93,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,93.gif,Dusk Screen,Moon Glow,Knight,Pearl Brad,Vine Lace,Full Leaf,Clear Air
94,Shade #94,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,94.gif,Parchment Screen,Moon Glow,Ogre,Brass Brad,Dot Lace,Bare Hide,Soot Motes
95,Shade #95,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,95.gif,Dusk Screen,Dawn Glow,Harper,Iron Brad,Vine Lace,Gold Rim,Spark Rise
96,Shade #96,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,96.gif,Parchment Screen,Oil Lamp,Clown,Rust Brad,Solid Hide,Full Leaf,Lamp Haze
97,Shade #97,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,97.gif,Ash Screen,Hearth Glow,Harper,No Hinge,Vine Lace,Gold Rim,Soot Motes
98,Shade #98,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,98.gif,Ash Screen,Coal Glow,Ogre,No Hinge,Vine Lace,Bare Hide,Smoke Ribbon
99,Shade #99,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,99.gif,Saffron Screen,Dawn Glow,Bride,Rust Brad,Diamond Lace,Gold Rim,Smoke Ribbon
100,Shade #100,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,100.gif,Dusk Screen,Moon Glow,Clown,Pearl Brad,Star Lace,Full Leaf,Lamp Haze
101,Shade #101,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,101.gif,Parchment Screen,Oil Lamp,Bride,Rust Brad,Vine Lace,Gold Rim,Clear Air
102,Shade #102,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,102.gif,Indigo Screen,Dawn Glow,Bird,Iron Brad,Star Lace,Full Leaf,Spark Rise
103,Shade #103,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,103.gif,Parchment Screen,Moon Glow,Knight,Pearl Brad,Dot Lace,Gold Rim,Clear Air
104,Shade #104,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,104.gif,Smoke Screen,Forge Glow,Demon,Rust Brad,Vine Lace,Gold Rim,Clear Air
105,Shade #105,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,105.gif,Indigo Screen,Oil Lamp,Sage,Pearl Brad,Dot Lace,Gold Dust,Smoke Ribbon
106,Shade #106,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,106.gif,Parchment Screen,Forge Glow,Bride,No Hinge,Dot Lace,Bare Hide,Spark Rise
107,Shade #107,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,107.gif,Smoke Screen,Dawn Glow,Knight,Brass Brad,Diamond Lace,Bare Hide,Lamp Haze
108,Shade #108,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,108.gif,Brass Screen,Hearth Glow,Bride,Iron Brad,Diamond Lace,Bare Hide,Clear Air
109,Shade #109,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,109.gif,Indigo Screen,Oil Lamp,Ogre,Iron Brad,Solid Hide,Full Leaf,Soot Motes
110,Shade #110,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,110.gif,Rose Screen,Coal Glow,Sage,No Hinge,Solid Hide,Full Leaf,Spark Rise
111,Shade #111,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,111.gif,Dusk Screen,Hearth Glow,Knight,No Hinge,Dot Lace,Gold Dust,Smoke Ribbon
112,Shade #112,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,112.gif,Parchment Screen,Forge Glow,Bird,Brass Brad,Dot Lace,Gold Tips,Smoke Ribbon
113,Shade #113,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,113.gif,Smoke Screen,Hearth Glow,Clown,Iron Brad,Dot Lace,Gold Tips,Clear Air
114,Shade #114,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,114.gif,Saffron Screen,Forge Glow,Bride,Brass Brad,Star Lace,Gold Rim,Clear Air
115,Shade #115,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,115.gif,Rose Screen,Hearth Glow,Ogre,No Hinge,Solid Hide,Gold Dust,Lamp Haze
116,Shade #116,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,116.gif,Dusk Screen,Oil Lamp,Clown,Brass Brad,Diamond Lace,Gold Tips,Lamp Haze
117,Shade #117,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,117.gif,Smoke Screen,Coal Glow,Harper,Brass Brad,Solid Hide,Full Leaf,Soot Motes
118,Shade #118,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,118.gif,Indigo Screen,Oil Lamp,Ogre,Pearl Brad,Dot Lace,Full Leaf,Clear Air
119,Shade #119,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,119.gif,Dusk Screen,Oil Lamp,Knight,No Hinge,Diamond Lace,Gold Rim,Clear Air
120,Shade #120,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,120.gif,Ash Screen,Moon Glow,Clown,Rust Brad,Dot Lace,Gold Dust,Lamp Haze
121,Shade #121,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,121.gif,Smoke Screen,Oil Lamp,Sage,Iron Brad,Diamond Lace,Gold Dust,Smoke Ribbon
122,Shade #122,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,122.gif,Smoke Screen,Coal Glow,Demon,Iron Brad,Vine Lace,Gold Rim,Lamp Haze
123,Shade #123,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,123.gif,Brass Screen,Oil Lamp,Sage,No Hinge,Diamond Lace,Full Leaf,Spark Rise
