tokenID,name,description,file_name,attributes[Paper],attributes[Bloom],attributes[Visage],attributes[Gaze],attributes[Mark],attributes[Adorn]
50,Inkling #50,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,50.gif,Charcoal Wash,Gold Wash,Cat,Dew,Slow Drip,Silk Bun
51,Inkling #51,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,51.gif,Wine Paper,No bloom,Otter,Wink,Clean face,Flow Hair
52,Inkling #52,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,52.gif,Indigo Night,Silver Veil,Koi,Ember,Brush Streak,Bare head
53,Inkling #53,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,53.gif,Wine Paper,Silver Veil,Crane,Ember,Ink Splash,Ink Ribbon
54,Inkling #54,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,54.gif,Celadon Garden,Violet Haze,Moon,Bright,Clean face,Wash Hood
55,Inkling #55,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,55.gif,Celadon Garden,Teal Mist,Hare,Lidded,Slow Drip,Silk Bun
56,Inkling #56,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,56.gif,Wine Paper,No bloom,Fox,Sleepy,Clean face,Bare head
57,Inkling #57,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,57.gif,Cream Rice,Teal Mist,Crane,Ember,Clean face,Silk Bun
58,Inkling #58,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,58.gif,Charcoal Wash,No bloom,Koi,Bright,Red Seal,Soft Crown
59,Inkling #59,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,59.gif,Peach Dusk,Silver Veil,Moth,Ember,Brush Streak,Flow Hair
60,Inkling #60,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,60.gif,Indigo Night,Teal Mist,Koi,Sleepy,Clean face,Silk Bun
61,Inkling #61,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,61.gif,Celadon Garden,Teal Mist,Koi,Lidded,Clean face,Ink Ribbon
62,Inkling #62,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,62.gif,Celadon Garden,Coral Glow,Cat,Sleepy,Ink Splash,Ink Ribbon
63,Inkling #63,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,63.gif,Indigo Night,Silver Veil,Cat,Dew,Brush Streak,Wash Hood
64,Inkling #64,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,64.gif,Cream Rice,Silver Veil,Cat,Lidded,Ink Splash,Flow Hair
65,Inkling #65,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,65.gif,Indigo Night,No bloom,Moon,Wink,Clean face,Bare head
66,Inkling #66,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,66.gif,Storm Grey,Teal Mist,Otter,Sleepy,Ink Splash,Silk Bun
67,Inkling #67,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,67.gif,Storm Grey,No bloom,Moth,Lidded,Clean face,Ink Ribbon
68,Inkling #68,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,68.gif,Storm Grey,Silver Veil,Koi,Wink,Red Seal,Ink Ribbon
69,Inkling #69,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,69.gif,Rose Gold,Teal Mist,Koi,Sleepy,Slow Drip,Bare head
70,Inkling #70,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,70.gif,Rose Gold,Violet Haze,Moon,Wink,Slow Drip,Soft Crown
71,Inkling #71,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,71.gif,Rose Gold,Gold Wash,Cat,Bright,Ink Splash,Soft Crown
72,Inkling #72,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,72.gif,Cream Rice,Gold Wash,Crane,Bright,Clean face,Bare head
73,Inkling #73,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,73.gif,Charcoal Wash,Coral Glow,Cat,Wink,Slow Drip,Flow Hair
74,Inkling #74,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,74.gif,Cream Rice,Gold Wash,Moth,Sleepy,Clean face,Ink Ribbon
75,Inkling #75,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,75.gif,Wine Paper,Teal Mist,Moon,Bright,Clean face,Silk Bun
76,Inkling #76,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,76.gif,Storm Grey,Coral Glow,Moon,Lidded,Clean face,Ink Ribbon
77,Inkling #77,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,77.gif,Storm Grey,Violet Haze,Otter,Wink,Slow Drip,Bare head
78,Inkling #78,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,78.gif,Indigo Night,Gold Wash,Cat,Dew,Slow Drip,Silk Bun
79,Inkling #79,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,79.gif,Storm Grey,Coral Glow,Fox,Lidded,Slow Drip,Ink Ribbon
80,Inkling #80,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,80.gif,Celadon Garden,Coral Glow,Hare,Wink,Ink Splash,Wash Hood
81,Inkling #81,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,81.gif,Rose Gold,Gold Wash,Crane,Bright,Red Seal,Wash Hood
82,Inkling #82,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,82.gif,Wine Paper,Gold Wash,Moon,Ember,Slow Drip,Ink Ribbon
83,Inkling #83,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,83.gif,Peach Dusk,No bloom,Cat,Bright,Slow Drip,Wash Hood
84,Inkling #84,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,84.gif,Cream Rice,Teal Mist,Crane,Bright,Ink Splash,Soft Crown
85,Inkling #85,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,85.gif,Storm Grey,Coral Glow,Koi,Bright,Brush Streak,Bare head
86,Inkling #86,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,86.gif,Rose Gold,Violet Haze,Koi,Bright,Slow Drip,Wash Hood
87,Inkling #87,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,87.gif,Indigo Night,Violet Haze,Cat,Dew,Clean face,Silk Bun
88,Inkling #88,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,88.gif,Celadon Garden,Violet Haze,Moth,Bright,Clean face,Bare head
89,Inkling #89,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,89.gif,Indigo Night,No bloom,Moth,Bright,Brush Streak,Wash Hood
90,Inkling #90,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,90.gif,Celadon Garden,No bloom,Moon,Dew,Ink Splash,Bare head
91,Inkling #91,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,91.gif,Wine Paper,Gold Wash,Cat,Sleepy,Ink Splash,Bare head
92,Inkling #92,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,92.gif,Wine Paper,Silver Veil,Koi,Wink,Clean face,Bare head
93,Inkling #93,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,93.gif,Cream Rice,Gold Wash,Cat,Wink,Brush Streak,Bare head
94,Inkling #94,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,94.gif,Celadon Garden,No bloom,Moth,Ember,Brush Streak,Bare head
95,Inkling #95,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,95.gif,Indigo Night,Violet Haze,Crane,Sleepy,Clean face,Flow Hair
96,Inkling #96,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,96.gif,Storm Grey,Gold Wash,Koi,Bright,Ink Splash,Flow Hair
97,Inkling #97,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,97.gif,Peach Dusk,No bloom,Cat,Wink,Slow Drip,Ink Ribbon
98,Inkling #98,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,98.gif,Indigo Night,Silver Veil,Cat,Wink,Clean face,Silk Bun
99,Inkling #99,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,99.gif,Rose Gold,Violet Haze,Moon,Bright,Clean face,Ink Ribbon
100,Inkling #100,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,100.gif,Rose Gold,Gold Wash,Koi,Dew,Ink Splash,Bare head
101,Inkling #101,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,101.gif,Celadon Garden,Violet Haze,Moon,Dew,Clean face,Flow Hair
102,Inkling #102,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,102.gif,Celadon Garden,Violet Haze,Moth,Sleepy,Clean face,Soft Crown
103,Inkling #103,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,103.gif,Storm Grey,Violet Haze,Cat,Dew,Slow Drip,Soft Crown
104,Inkling #104,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,104.gif,Wine Paper,Silver Veil,Crane,Sleepy,Brush Streak,Bare head
105,Inkling #105,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,105.gif,Storm Grey,Violet Haze,Moon,Lidded,Brush Streak,Ink Ribbon
106,Inkling #106,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,106.gif,Storm Grey,Coral Glow,Koi,Bright,Brush Streak,Wash Hood
107,Inkling #107,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,107.gif,Rose Gold,Silver Veil,Fox,Sleepy,Red Seal,Bare head
108,Inkling #108,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,108.gif,Charcoal Wash,Silver Veil,Koi,Dew,Red Seal,Wash Hood
109,Inkling #109,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,109.gif,Charcoal Wash,Gold Wash,Otter,Dew,Brush Streak,Silk Bun
110,Inkling #110,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,110.gif,Rose Gold,Gold Wash,Crane,Bright,Slow Drip,Bare head
111,Inkling #111,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,111.gif,Cream Rice,Gold Wash,Fox,Sleepy,Clean face,Wash Hood
112,Inkling #112,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,112.gif,Peach Dusk,No bloom,Moon,Dew,Clean face,Ink Ribbon
113,Inkling #113,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,113.gif,Charcoal Wash,Silver Veil,Fox,Bright,Ink Splash,Ink Ribbon
114,Inkling #114,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,114.gif,Charcoal Wash,Gold Wash,Moon,Wink,Brush Streak,Bare head
115,Inkling #115,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,115.gif,Peach Dusk,Gold Wash,Moth,Wink,Clean face,Ink Ribbon
116,Inkling #116,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,116.gif,Rose Gold,No bloom,Otter,Wink,Clean face,Flow Hair
117,Inkling #117,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,117.gif,Celadon Garden,Violet Haze,Fox,Dew,Red Seal,Flow Hair
118,Inkling #118,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,118.gif,Storm Grey,Teal Mist,Fox,Bright,Clean face,Ink Ribbon
119,Inkling #119,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,119.gif,Indigo Night,Gold Wash,Crane,Bright,Clean face,Ink Ribbon
120,Inkling #120,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,120.gif,Peach Dusk,No bloom,Otter,Bright,Clean face,Wash Hood
121,Inkling #121,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,121.gif,Charcoal Wash,Gold Wash,Otter,Wink,Clean face,Bare head
122,Inkling #122,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,122.gif,Celadon Garden,Coral Glow,Koi,Lidded,Clean face,Bare head
123,Inkling #123,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,123.gif,Celadon Garden,Gold Wash,Fox,Sleepy,Slow Drip,Ink Ribbon
124,Inkling #124,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,124.gif,Indigo Night,No bloom,Crane,Sleepy,Clean face,Soft Crown
125,Inkling #125,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,125.gif,Cream Rice,Violet Haze,Cat,Bright,Red Seal,Soft Crown
126,Inkling #126,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,126.gif,Cream Rice,Teal Mist,Crane,Bright,Brush Streak,Bare head
127,Inkling #127,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,127.gif,Celadon Garden,Silver Veil,Cat,Dew,Red Seal,Silk Bun
128,Inkling #128,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,128.gif,Cream Rice,No bloom,Fox,Wink,Slow Drip,Bare head
129,Inkling #129,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,129.gif,Indigo Night,Violet Haze,Moth,Wink,Clean face,Silk Bun
130,Inkling #130,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,130.gif,Wine Paper,Gold Wash,Moon,Sleepy,Ink Splash,Bare head
131,Inkling #131,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,131.gif,Rose Gold,No bloom,Cat,Wink,Clean face,Ink Ribbon
132,Inkling #132,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,132.gif,Indigo Night,No bloom,Koi,Bright,Slow Drip,Soft Crown
133,Inkling #133,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,133.gif,Storm Grey,Teal Mist,Cat,Lidded,Brush Streak,Bare head
134,Inkling #134,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,134.gif,Rose Gold,Silver Veil,Crane,Bright,Clean face,Soft Crown
135,Inkling #135,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,135.gif,Peach Dusk,Gold Wash,Koi,Bright,Brush Streak,Soft Crown
136,Inkling #136,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,136.gif,Storm Grey,Gold Wash,Koi,Sleepy,Red Seal,Wash Hood
137,Inkling #137,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,137.gif,Indigo Night,No bloom,Fox,Wink,Ink Splash,Flow Hair
138,Inkling #138,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,138.gif,Cream Rice,Teal Mist,Koi,Dew,Red Seal,Bare head
139,Inkling #139,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,139.gif,Charcoal Wash,Coral Glow,Cat,Dew,Clean face,Soft Crown
140,Inkling #140,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,140.gif,Rose Gold,Silver Veil,Crane,Bright,Slow Drip,Bare head
141,Inkling #141,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,141.gif,Indigo Night,Violet Haze,Otter,Sleepy,Brush Streak,Bare head
142,Inkling #142,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,142.gif,Celadon Garden,Coral Glow,Fox,Ember,Slow Drip,Soft Crown
143,Inkling #143,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,143.gif,Indigo Night,No bloom,Koi,Wink,Clean face,Silk Bun
144,Inkling #144,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,144.gif,Storm Grey,Violet Haze,Cat,Sleepy,Ink Splash,Silk Bun
145,Inkling #145,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,145.gif,Rose Gold,Teal Mist,Hare,Ember,Clean face,Ink Ribbon
146,Inkling #146,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,146.gif,Storm Grey,No bloom,Moth,Sleepy,Clean face,Bare head
147,Inkling #147,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,147.gif,Celadon Garden,Coral Glow,Fox,Ember,Ink Splash,Ink Ribbon
148,Inkling #148,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,148.gif,Celadon Garden,Coral Glow,Hare,Dew,Ink Splash,Bare head
149,Inkling #149,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,149.gif,Storm Grey,No bloom,Crane,Bright,Red Seal,Ink Ribbon
150,Inkling #150,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,150.gif,Indigo Night,Teal Mist,Otter,Bright,Clean face,Bare head
151,Inkling #151,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,151.gif,Rose Gold,No bloom,Crane,Lidded,Ink Splash,Soft Crown
152,Inkling #152,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,152.gif,Celadon Garden,Teal Mist,Hare,Sleepy,Ink Splash,Flow Hair
153,Inkling #153,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,153.gif,Celadon Garden,Teal Mist,Crane,Lidded,Slow Drip,Soft Crown
154,Inkling #154,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,154.gif,Storm Grey,Gold Wash,Cat,Sleepy,Clean face,Silk Bun
155,Inkling #155,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,155.gif,Cream Rice,Violet Haze,Fox,Sleepy,Clean face,Flow Hair
156,Inkling #156,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,156.gif,Rose Gold,Violet Haze,Hare,Lidded,Clean face,Ink Ribbon
157,Inkling #157,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,157.gif,Charcoal Wash,No bloom,Moth,Ember,Brush Streak,Soft Crown
158,Inkling #158,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,158.gif,Indigo Night,Violet Haze,Moon,Ember,Ink Splash,Wash Hood
159,Inkling #159,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,159.gif,Cream Rice,No bloom,Koi,Bright,Clean face,Flow Hair
160,Inkling #160,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,160.gif,Wine Paper,No bloom,Crane,Ember,Brush Streak,Flow Hair
161,Inkling #161,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,161.gif,Celadon Garden,No bloom,Cat,Dew,Ink Splash,Bare head
162,Inkling #162,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,162.gif,Rose Gold,No bloom,Fox,Sleepy,Slow Drip,Silk Bun
163,Inkling #163,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,163.gif,Wine Paper,Coral Glow,Hare,Lidded,Brush Streak,Bare head
164,Inkling #164,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,164.gif,Wine Paper,Silver Veil,Fox,Sleepy,Red Seal,Flow Hair
165,Inkling #165,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,165.gif,Peach Dusk,Gold Wash,Fox,Lidded,Clean face,Bare head
166,Inkling #166,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,166.gif,Cream Rice,No bloom,Cat,Ember,Clean face,Ink Ribbon
167,Inkling #167,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,167.gif,Celadon Garden,Silver Veil,Hare,Dew,Clean face,Soft Crown
168,Inkling #168,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,168.gif,Celadon Garden,Teal Mist,Hare,Lidded,Clean face,Silk Bun
169,Inkling #169,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,169.gif,Cream Rice,No bloom,Koi,Ember,Brush Streak,Flow Hair
170,Inkling #170,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,170.gif,Cream Rice,No bloom,Moth,Sleepy,Brush Streak,Flow Hair
