tokenID,name,description,file_name,attributes[Yard],attributes[Glow],attributes[Pelt],attributes[Mug],attributes[Hat],attributes[Gear]
21,Santa Paw #21,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",21.gif,Candy Cane,Snow Glitter,Calico,Blush,Santa Hat,None
22,Santa Paw #22,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",22.gif,Cookie Kitchen,Snow Glitter,Tuxedo,Surprised,None,Bells
23,Santa Paw #23,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",23.gif,Cookie Kitchen,Sparkle,Charcoal,Tongue Out,Elf Cap,None
24,Santa Paw #24,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",24.gif,Candy Cane,No glow,Calico,Sleepy,Elf Cap,Mistletoe
25,Santa Paw #25,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",25.gif,Cookie Kitchen,Soft Halo,Ginger,Blush,Elf Cap,Stocking
26,Santa Paw #26,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",26.gif,Snowy Night,Snow Glitter,Charcoal,Wink,None,None
27,Santa Paw #27,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",27.gif,Cookie Kitchen,Ember,Gray Tabby,Heart Eyes,Holly Crown,Present
28,Santa Paw #28,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",28.gif,Snowy Night,Snow Glitter,White Fluff,Wink,Elf Cap,Sweater
29,Santa Paw #29,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",29.gif,Candy Cane,Ember,Charcoal,Cheerful,Santa Hat,Cocoa
30,Santa Paw #30,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",30.gif,Aurora,Snow Glitter,Ginger,Sleepy,None,Bells
31,Santa Paw #31,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",31.gif,Aurora,Soft Halo,White Fluff,Wink,Elf Cap,Scarf
32,Santa Paw #32,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",32.gif,Cozy Hearth,Ember,Charcoal,Blush,Santa Hat,Cocoa
33,Santa Paw #33,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",33.gif,Snowy Night,Sparkle,Gray Tabby,Tongue Out,None,Bells
34,Santa Paw #34,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",34.gif,Candy Cane,Soft Halo,Tuxedo,Tongue Out,Santa Hat,Cocoa
35,Santa Paw #35,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",35.gif,Snowy Night,Soft Halo,Calico,Blush,Santa Hat,Present
36,Santa Paw #36,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",36.gif,Cookie Kitchen,Soft Halo,Charcoal,Tongue Out,Santa Hat,Bells
37,Santa Paw #37,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",37.gif,Aurora,Snow Glitter,Gray Tabby,Heart Eyes,Antlers,Cocoa
38,Santa Paw #38,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",38.gif,Aurora,Soft Halo,Ginger,Sleepy,Santa Hat,Scarf
39,Santa Paw #39,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",39.gif,Cozy Hearth,Snow Glitter,Ginger,Wink,Pom Beanie,None
40,Santa Paw #40,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",40.gif,Cozy Hearth,No glow,Charcoal,Sleepy,Pom Beanie,None
41,Santa Paw #41,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",41.gif,Aurora,Sparkle,Tuxedo,Cheerful,None,Present
42,Santa Paw #42,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",42.gif,Aurora,Sparkle,Tuxedo,Wink,None,Scarf
43,Santa Paw #43,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",43.gif,Aurora,No glow,Charcoal,Cheerful,Santa Hat,Bells
44,Santa Paw #44,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",44.gif,Snowy Night,Snow Glitter,Calico,Tongue Out,None,Cocoa
45,Santa Paw #45,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",45.gif,Gift Wrap,No glow,Ginger,Tongue Out,Elf Cap,Cocoa
46,Santa Paw #46,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",46.gif,Snowy Night,No glow,Tuxedo,Blush,Pom Beanie,None
47,Santa Paw #47,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",47.gif,Cozy Hearth,No glow,White Fluff,Tongue Out,Antlers,Mistletoe
48,Santa Paw #48,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",48.gif,Cookie Kitchen,Soft Halo,Tuxedo,Wink,Santa Hat,Sweater
49,Santa Paw #49,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",49.gif,Candy Cane,Sparkle,Gray Tabby,Heart Eyes,Santa Hat,None
50,Santa Paw #50,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",50.gif,Candy Cane,Soft Halo,Tuxedo,Cheerful,Elf Cap,Mistletoe
51,Santa Paw #51,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",51.gif,Snowy Night,No glow,Calico,Sleepy,Elf Cap,Scarf
52,Santa Paw #52,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",52.gif,Aurora,Snow Glitter,White Fluff,Heart Eyes,Santa Hat,Present
53,Santa Paw #53,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",53.gif,Candy Cane,Sparkle,Calico,Blush,Antlers,Bells
54,Santa Paw #54,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",54.gif,Aurora,Soft Halo,White Fluff,Cheerful,None,Scarf
55,Santa Paw #55,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",55.gif,Snowy Night,Ember,Cocoa,Surprised,Elf Cap,Scarf
56,Santa Paw #56,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",56.gif,Cozy Hearth,Ember,Cocoa,Sleepy,Elf Cap,Cocoa
57,Santa Paw #57,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",57.gif,Snowy Night,Soft Halo,Tuxedo,Cheerful,Pom Beanie,Bells
58,Santa Paw #58,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",58.gif,Cozy Hearth,No glow,Charcoal,Sleepy,Santa Hat,Bells
59,Santa Paw #59,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",59.gif,Snowy Night,Snow Glitter,Tuxedo,Heart Eyes,None,None
60,Santa Paw #60,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",60.gif,Cozy Hearth,Soft Halo,White Fluff,Surprised,Pom Beanie,Present
61,Santa Paw #61,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",61.gif,Snowy Night,Soft Halo,White Fluff,Blush,Holly Crown,None
62,Santa Paw #62,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",62.gif,Snowy Night,Soft Halo,Ginger,Blush,Pom Beanie,Present
63,Santa Paw #63,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",63.gif,Aurora,Snow Glitter,Tuxedo,Blush,Antlers,None
64,Santa Paw #64,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",64.gif,Candy Cane,No glow,Gray Tabby,Surprised,Santa Hat,Cocoa
65,Santa Paw #65,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",65.gif,Cookie Kitchen,Snow Glitter,Ginger,Heart Eyes,Santa Hat,Present
66,Santa Paw #66,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",66.gif,Candy Cane,Ember,White Fluff,Surprised,Santa Hat,Sweater
67,Santa Paw #67,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",67.gif,Snowy Night,Ember,Calico,Blush,None,Scarf
68,Santa Paw #68,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",68.gif,Candy Cane,Snow Glitter,Tuxedo,Cheerful,Elf Cap,Mistletoe
69,Santa Paw #69,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",69.gif,Candy Cane,Snow Glitter,Tuxedo,Cheerful,None,None
70,Santa Paw #70,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",70.gif,Aurora,Sparkle,Charcoal,Blush,Pom Beanie,Sweater
71,Santa Paw #71,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",71.gif,Cookie Kitchen,Soft Halo,Ginger,Surprised,Santa Hat,None
72,Santa Paw #72,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",72.gif,Aurora,No glow,Charcoal,Surprised,None,Scarf
73,Santa Paw #73,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",73.gif,Aurora,Ember,Calico,Blush,None,Present
74,Santa Paw #74,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",74.gif,Snowy Night,Soft Halo,Tuxedo,Surprised,Pom Beanie,Cocoa
75,Santa Paw #75,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",75.gif,Snowy Night,Soft Halo,Ginger,Heart Eyes,None,Present
76,Santa Paw #76,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",76.gif,Candy Cane,Sparkle,White Fluff,Blush,Santa Hat,None
77,Santa Paw #77,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",77.gif,Snowy Night,No glow,Tuxedo,Cheerful,Pom Beanie,Stocking
78,Santa Paw #78,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",78.gif,Aurora,Ember,White Fluff,Surprised,None,None
79,Santa Paw #79,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",79.gif,Candy Cane,Snow Glitter,Cocoa,Sleepy,Santa Hat,Bells
80,Santa Paw #80,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",80.gif,Aurora,Sparkle,Calico,Heart Eyes,Pom Beanie,Present
81,Santa Paw #81,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",81.gif,Gift Wrap,No glow,White Fluff,Blush,None,Present
82,Santa Paw #82,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",82.gif,Cookie Kitchen,Snow Glitter,Ginger,Surprised,Elf Cap,Bells
83,Santa Paw #83,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",83.gif,Snowy Night,Sparkle,Tuxedo,Surprised,Pom Beanie,Present
84,Santa Paw #84,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",84.gif,Aurora,Soft Halo,White Fluff,Wink,Santa Hat,Cocoa
85,Santa Paw #85,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",85.gif,Gift Wrap,Soft Halo,White Fluff,Wink,Elf Cap,Cocoa
86,Santa Paw #86,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",86.gif,Cookie Kitchen,Sparkle,Gray Tabby,Cheerful,Pom Beanie,Cocoa
87,Santa Paw #87,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",87.gif,Gift Wrap,Sparkle,Tuxedo,Cheerful,Pom Beanie,Sweater
88,Santa Paw #88,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",88.gif,Aurora,Ember,Cocoa,Cheerful,Pom Beanie,Scarf
89,Santa Paw #89,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",89.gif,Cozy Hearth,Snow Glitter,Gray Tabby,Sleepy,None,Present
90,Santa Paw #90,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",90.gif,Candy Cane,Snow Glitter,Calico,Cheerful,Pom Beanie,Present
91,Santa Paw #91,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",91.gif,Aurora,No glow,Cocoa,Wink,Holly Crown,Stocking
92,Santa Paw #92,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",92.gif,Snowy Night,No glow,Cocoa,Cheerful,Pom Beanie,Cocoa
93,Santa Paw #93,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",93.gif,Cozy Hearth,Soft Halo,Calico,Surprised,Elf Cap,Stocking
94,Santa Paw #94,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",94.gif,Snowy Night,Snow Glitter,White Fluff,Tongue Out,None,Cocoa
95,Santa Paw #95,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",95.gif,Snowy Night,Soft Halo,Charcoal,Surprised,Holly Crown,Bells
96,Santa Paw #96,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",96.gif,Cozy Hearth,No glow,Tuxedo,Tongue Out,None,Present
97,Santa Paw #97,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",97.gif,Gift Wrap,No glow,Calico,Cheerful,Holly Crown,Mistletoe
98,Santa Paw #98,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",98.gif,Cozy Hearth,Ember,Gray Tabby,Blush,Antlers,Cocoa
99,Santa Paw #99,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",99.gif,Cozy Hearth,Soft Halo,Calico,Sleepy,Elf Cap,Bells
100,Santa Paw #100,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",100.gif,Snowy Night,Ember,Ginger,Wink,None,Sweater
101,Santa Paw #101,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",101.gif,Candy Cane,Ember,Tuxedo,Tongue Out,None,Cocoa
102,Santa Paw #102,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",102.gif,Snowy Night,No glow,Charcoal,Sleepy,None,Bells
103,Santa Paw #103,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",103.gif,Snowy Night,Soft Halo,Tuxedo,Blush,None,Cocoa
104,Santa Paw #104,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",104.gif,Cozy Hearth,Soft Halo,White Fluff,Blush,Elf Cap,Cocoa
105,Santa Paw #105,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",105.gif,Candy Cane,Soft Halo,Gray Tabby,Tongue Out,Elf Cap,Stocking
106,Santa Paw #106,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",106.gif,Cozy Hearth,Sparkle,Calico,Surprised,Santa Hat,Bells
107,Santa Paw #107,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",107.gif,Cozy Hearth,Soft Halo,White Fluff,Blush,Elf Cap,None
108,Santa Paw #108,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",108.gif,Cookie Kitchen,No glow,Tuxedo,Wink,Antlers,Sweater
109,Santa Paw #109,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",109.gif,Cookie Kitchen,No glow,White Fluff,Tongue Out,Santa Hat,Sweater
110,Santa Paw #110,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",110.gif,Aurora,Soft Halo,White Fluff,Cheerful,Elf Cap,Cocoa
111,Santa Paw #111,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",111.gif,Candy Cane,No glow,Calico,Wink,Santa Hat,Present
112,Santa Paw #112,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",112.gif,Gift Wrap,Soft Halo,White Fluff,Wink,Elf Cap,Stocking
113,Santa Paw #113,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",113.gif,Gift Wrap,Snow Glitter,Gray Tabby,Tongue Out,Elf Cap,Stocking
114,Santa Paw #114,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",114.gif,Candy Cane,Sparkle,Charcoal,Cheerful,Elf Cap,Sweater
115,Santa Paw #115,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",115.gif,Snowy Night,No glow,Calico,Wink,Santa Hat,Present
116,Santa Paw #116,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",116.gif,Snowy Night,Ember,White Fluff,Sleepy,Holly Crown,Mistletoe
117,Santa Paw #117,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",117.gif,Snowy Night,No glow,Gray Tabby,Wink,Pom Beanie,Scarf
118,Santa Paw #118,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",118.gif,Aurora,Sparkle,Charcoal,Heart Eyes,Antlers,None
119,Santa Paw #119,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",119.gif,Snowy Night,No glow,Cocoa,Wink,Pom Beanie,Stocking
120,Santa Paw #120,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",120.gif,Candy Cane,No glow,Tuxedo,Sleepy,Holly Crown,Scarf
121,Santa Paw #121,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",121.gif,Cookie Kitchen,No glow,Charcoal,Blush,Santa Hat,Bells
122,Santa Paw #122,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",122.gif,Candy Cane,No glow,Tuxedo,Wink,None,None
123,Santa Paw #123,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",123.gif,Aurora,No glow,Gray Tabby,Sleepy,None,None
124,Santa Paw #124,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",124.gif,Cozy Hearth,Ember,White Fluff,Heart Eyes,Holly Crown,Scarf
125,Santa Paw #125,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",125.gif,Candy Cane,Snow Glitter,Cocoa,Cheerful,None,Scarf
126,Santa Paw #126,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",126.gif,Aurora,Snow Glitter,White Fluff,Wink,Elf Cap,Present
127,Santa Paw #127,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",127.gif,Cookie Kitchen,No glow,Cocoa,Cheerful,Pom Beanie,Bells
128,Santa Paw #128,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",128.gif,Candy Cane,Soft Halo,Ginger,Blush,Pom Beanie,Bells
129,Santa Paw #129,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",129.gif,Cozy Hearth,Sparkle,Tuxedo,Wink,Santa Hat,Sweater
130,Santa Paw #130,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",130.gif,Snowy Night,Snow Glitter,Ginger,Surprised,Elf Cap,Scarf
131,Santa Paw #131,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",131.gif,Snowy Night,Ember,Ginger,Tongue Out,Santa Hat,Scarf
132,Santa Paw #132,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",132.gif,Aurora,Sparkle,White Fluff,Cheerful,Antlers,Sweater
133,Santa Paw #133,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",133.gif,Cookie Kitchen,Sparkle,White Fluff,Wink,None,Scarf
134,Santa Paw #134,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",134.gif,Snowy Night,Soft Halo,Charcoal,Blush,None,None
135,Santa Paw #135,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",135.gif,Snowy Night,Sparkle,Tuxedo,Blush,None,Stocking
136,Santa Paw #136,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",136.gif,Candy Cane,Ember,Tuxedo,Cheerful,Antlers,Sweater
137,Santa Paw #137,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",137.gif,Cookie Kitchen,No glow,White Fluff,Heart Eyes,Elf Cap,Scarf
138,Santa Paw #138,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",138.gif,Cookie Kitchen,Snow Glitter,Cocoa,Blush,Santa Hat,None
139,Santa Paw #139,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",139.gif,Snowy Night,No glow,Gray Tabby,Wink,Holly Crown,Bells
140,Santa Paw #140,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",140.gif,Cookie Kitchen,Ember,White Fluff,Wink,Elf Cap,Present
141,Santa Paw #141,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",141.gif,Cookie Kitchen,No glow,Tuxedo,Surprised,Santa Hat,Present
142,Santa Paw #142,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",142.gif,Snowy Night,Ember,Tuxedo,Tongue Out,Antlers,None
143,Santa Paw #143,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",143.gif,Cozy Hearth,Ember,Calico,Tongue Out,Santa Hat,Scarf
144,Santa Paw #144,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",144.gif,Candy Cane,No glow,Calico,Blush,Pom Beanie,Sweater
145,Santa Paw #145,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",145.gif,Cookie Kitchen,Ember,Charcoal,Blush,None,Sweater
146,Santa Paw #146,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",146.gif,Candy Cane,Sparkle,White Fluff,Cheerful,None,Bells
147,Santa Paw #147,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",147.gif,Cozy Hearth,No glow,Gray Tabby,Wink,Holly Crown,Scarf
148,Santa Paw #148,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",148.gif,Cozy Hearth,Soft Halo,White Fluff,Surprised,Holly Crown,Cocoa
149,Santa Paw #149,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",149.gif,Candy Cane,Snow Glitter,White Fluff,Wink,Elf Cap,Cocoa
150,Santa Paw #150,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",150.gif,Snowy Night,Ember,Ginger,Sleepy,None,Bells
151,Santa Paw #151,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",151.gif,Snowy Night,Snow Glitter,Charcoal,Sleepy,Holly Crown,Sweater
152,Santa Paw #152,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",152.gif,Snowy Night,Snow Glitter,White Fluff,Sleepy,Santa Hat,Cocoa
153,Santa Paw #153,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",153.gif,Aurora,No glow,Charcoal,Surprised,Elf Cap,None
154,Santa Paw #154,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",154.gif,Snowy Night,No glow,Calico,Wink,Elf Cap,Stocking
155,Santa Paw #155,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",155.gif,Gift Wrap,Ember,Gray Tabby,Tongue Out,Holly Crown,None
156,Santa Paw #156,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",156.gif,Aurora,Snow Glitter,Gray Tabby,Wink,Elf Cap,Bells
157,Santa Paw #157,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",157.gif,Cookie Kitchen,Soft Halo,Cocoa,Cheerful,Elf Cap,Present
158,Santa Paw #158,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",158.gif,Cozy Hearth,Soft Halo,White Fluff,Tongue Out,Elf Cap,None
159,Santa Paw #159,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",159.gif,Snowy Night,Snow Glitter,Cocoa,Tongue Out,Santa Hat,Scarf
160,Santa Paw #160,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",160.gif,Snowy Night,Snow Glitter,White Fluff,Tongue Out,Santa Hat,Bells
161,Santa Paw #161,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",161.gif,Snowy Night,No glow,Tuxedo,Tongue Out,None,Stocking
162,Santa Paw #162,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",162.gif,Candy Cane,Sparkle,Charcoal,Sleepy,Antlers,Present
163,Santa Paw #163,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",163.gif,Aurora,Sparkle,Tuxedo,Heart Eyes,Santa Hat,Sweater
164,Santa Paw #164,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",164.gif,Cookie Kitchen,No glow,Cocoa,Cheerful,Santa Hat,None
165,Santa Paw #165,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",165.gif,Aurora,Soft Halo,Ginger,Wink,Antlers,Sweater
166,Santa Paw #166,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",166.gif,Aurora,Ember,Tuxedo,Blush,Elf Cap,None
167,Santa Paw #167,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",167.gif,Cookie Kitchen,No glow,Tuxedo,Wink,Pom Beanie,Sweater
168,Santa Paw #168,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",168.gif,Aurora,Sparkle,Gray Tabby,Blush,Holly Crown,Bells
169,Santa Paw #169,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",169.gif,Gift Wrap,Ember,Ginger,Cheerful,Santa Hat,Mistletoe
