tokenID,name,description,file_name,attributes[Field],attributes[Pelt],attributes[Mug],attributes[Hat],attributes[Wrap],attributes[Charm]
101,Foxin #101,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,101.gif,Snow,Snow,Sleepy,Beanie,Bell,None
102,Foxin #102,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,102.gif,Snow,Dusk,Sleepy,Beret,None,None
103,Foxin #103,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,103.gif,Peach,Snow,Wink,None,Bell,None
104,Foxin #104,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,104.gif,Hearth,Dusk,Wink,Leaf,None,None
105,Foxin #105,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,105.gif,Hearth,Dusk,Wink,Beret,Bell,None
106,Foxin #106,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,106.gif,Peach,Snow,Heart,None,None,Leaf
107,Foxin #107,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,107.gif,Snow,Snow,Normal,Bow,Bandana,Acorn
108,Foxin #108,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,108.gif,Snow,Snow,Sparkly,Leaf,Scarf,None
109,Foxin #109,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,109.gif,Dusk,Maple,Blep,Flower,None,Acorn
110,Foxin #110,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,110.gif,Dusk,Snow,Pout,None,None,None
111,Foxin #111,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,111.gif,Snow,Snow,Sparkly,Cap,None,None
112,Foxin #112,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,112.gif,Peach,Maple,Sparkly,Cap,Bell,Lantern
113,Foxin #113,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,113.gif,Dusk,Dusk,Blep,Beanie,None,Lantern
114,Foxin #114,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,114.gif,Peach,Dusk,Wink,Beret,Scarf,Leaf
115,Foxin #115,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,115.gif,Snow,Dusk,Wink,Leaf,Bandana,Acorn
116,Foxin #116,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,116.gif,Peach,Dusk,Sleepy,Beret,Bandana,Acorn
117,Foxin #117,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,117.gif,Peach,Maple,Normal,None,None,Acorn
118,Foxin #118,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,118.gif,Dusk,Maple,Sleepy,Leaf,Bell,Leaf
119,Foxin #119,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,119.gif,Hearth,Maple,Blep,Beret,Scarf,None
120,Foxin #120,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,120.gif,Hearth,Snow,Normal,Beanie,Bandana,Acorn
121,Foxin #121,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,121.gif,Dusk,Maple,Sparkly,None,Bell,Lantern
122,Foxin #122,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,122.gif,Peach,Maple,Pout,Beanie,None,Leaf
123,Foxin #123,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,123.gif,Hearth,Maple,Blep,None,Scarf,None
124,Foxin #124,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,124.gif,Snow,Snow,Grin,None,Bandana,None
125,Foxin #125,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,125.gif,Snow,Snow,Blep,None,Bandana,Acorn
126,Foxin #126,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,126.gif,Dusk,Maple,Grin,None,Scarf,None
127,Foxin #127,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,127.gif,Peach,Maple,Grin,None,Bell,Acorn
128,Foxin #128,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,128.gif,Snow,Snow,Sparkly,None,Bandana,Lantern
129,Foxin #129,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,129.gif,Snow,Maple,Sleepy,Flower,None,Leaf
130,Foxin #130,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,130.gif,Peach,Maple,Wink,Beanie,Bell,None
131,Foxin #131,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,131.gif,Peach,Maple,Sparkly,Cap,Bandana,None
132,Foxin #132,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,132.gif,Dusk,Maple,Sleepy,Beanie,Bandana,None
133,Foxin #133,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,133.gif,Dusk,Snow,Sleepy,Beret,None,None
134,Foxin #134,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,134.gif,Peach,Snow,Normal,None,None,Acorn
135,Foxin #135,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,135.gif,Snow,Maple,Grin,Flower,Bandana,None
136,Foxin #136,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,136.gif,Dusk,Maple,Pout,Flower,None,Lantern
137,Foxin #137,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,137.gif,Peach,Maple,Normal,Beret,Bandana,Acorn
138,Foxin #138,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,138.gif,Dusk,Dusk,Heart,None,Bandana,None
139,Foxin #139,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,139.gif,Snow,Snow,Heart,Leaf,None,Lantern
140,Foxin #140,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,140.gif,Dusk,Snow,Grin,None,Scarf,None
141,Foxin #141,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,141.gif,Dusk,Maple,Grin,None,Bell,Acorn
142,Foxin #142,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,142.gif,Hearth,Maple,Normal,None,None,None
143,Foxin #143,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,143.gif,Hearth,Maple,Sleepy,Flower,None,Lantern
144,Foxin #144,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,144.gif,Peach,Maple,Blep,None,Bandana,Lantern
145,Foxin #145,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,145.gif,Peach,Dusk,Grin,None,Bandana,Leaf
146,Foxin #146,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,146.gif,Dusk,Dusk,Sparkly,Cap,Bandana,None
147,Foxin #147,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,147.gif,Snow,Maple,Sleepy,Flower,None,None
148,Foxin #148,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,148.gif,Snow,Maple,Sleepy,Beanie,Bandana,Lantern
149,Foxin #149,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,149.gif,Peach,Dusk,Sleepy,Beanie,None,None
150,Foxin #150,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,150.gif,Hearth,Snow,Normal,Leaf,Scarf,None
151,Foxin #151,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,151.gif,Hearth,Maple,Blep,Cap,None,None
152,Foxin #152,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,152.gif,Peach,Dusk,Grin,Leaf,Scarf,Leaf
153,Foxin #153,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,153.gif,Snow,Maple,Sleepy,None,Bandana,Acorn
154,Foxin #154,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,154.gif,Snow,Dusk,Sleepy,Leaf,None,Acorn
155,Foxin #155,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,155.gif,Peach,Dusk,Grin,Leaf,None,Lantern
156,Foxin #156,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,156.gif,Hearth,Maple,Blep,Cap,None,Lantern
157,Foxin #157,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,157.gif,Peach,Snow,Grin,Cap,Scarf,Acorn
158,Foxin #158,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,158.gif,Hearth,Snow,Heart,Leaf,Bandana,None
159,Foxin #159,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,159.gif,Dusk,Snow,Pout,Flower,Scarf,Leaf
160,Foxin #160,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,160.gif,Peach,Maple,Sparkly,Cap,Bell,None
161,Foxin #161,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,161.gif,Dusk,Snow,Sleepy,Beanie,Bell,Leaf
162,Foxin #162,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,162.gif,Hearth,Snow,Blep,Bow,Bandana,Acorn
163,Foxin #163,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,163.gif,Hearth,Maple,Wink,Flower,None,Lantern
164,Foxin #164,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,164.gif,Peach,Dusk,Blep,Beret,Scarf,None
165,Foxin #165,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,165.gif,Peach,Maple,Blep,Leaf,Scarf,Leaf
166,Foxin #166,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,166.gif,Peach,Dusk,Normal,Beret,Bandana,None
167,Foxin #167,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,167.gif,Peach,Snow,Grin,Flower,None,Lantern
168,Foxin #168,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,168.gif,Dusk,Maple,Sleepy,Flower,None,Lantern
169,Foxin #169,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,169.gif,Dusk,Maple,Heart,None,None,Leaf
170,Foxin #170,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,170.gif,Peach,Dusk,Grin,None,None,Leaf
171,Foxin #171,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,171.gif,Hearth,Snow,Normal,Beanie,None,Leaf
172,Foxin #172,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,172.gif,Peach,Maple,Normal,None,None,Lantern
173,Foxin #173,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,173.gif,Peach,Maple,Sleepy,Bow,Scarf,Leaf
174,Foxin #174,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,174.gif,Peach,Snow,Heart,None,None,None
175,Foxin #175,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,175.gif,Hearth,Maple,Normal,Beanie,Bandana,None
176,Foxin #176,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,176.gif,Peach,Maple,Blep,Leaf,Bandana,None
