tokenID,name,description,file_name,attributes[Atmosphere],attributes[Complexion],attributes[Tailoring],attributes[Coiffure],attributes[Visage],attributes[Cadence],attributes[Adornment],attributes[Signal]
11,Street Heir #11,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",11.png,Jade Arc,Sienna / Soft Jaw,Signal Bomber,Box Braids,Clear Frames,Calm,Studio Cans,Sound Wave
12,Street Heir #12,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",12.png,Amber Blocks,Copper / High Cheek,Varsity Archive,High Puff,Side Eye,Gap Grin,Nose Ring,Halftone Veil
13,Street Heir #13,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",13.png,Crimson Check,Golden Brown / Tapered,Workwear Blue,Loc Crown,Star Liner,Half Smile,Safety Pin,Crop Code
14,Street Heir #14,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",14.png,Violet Broadcast,Olive / Square,Track Panel,Sculpted Twists,Steady,Short Beard,Silver Studs,Type Bars
15,Street Heir #15,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",15.png,Acid Window,Warm Beige / Heart,Patched Denim,Wave Crop,Amber Shades,Fine Mustache,Curb Chain,Orbit Lines
16,Street Heir #16,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",16.png,Cobalt Sun,Cool Porcelain / Long,Ribbed Turtleneck,Temple Fade,Future Visor,Chin Stripe,Gold Hoops,Offset Halo
17,Street Heir #17,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",17.png,Amber Blocks,Golden Brown / Tapered,Quilted Vest,Wave Crop,Soft Blink,Calm,Gold Hoops,Pixel Flare
18,Street Heir #18,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",18.png,Midnight Grid,Sienna / Soft Jaw,Workwear Blue,Loc Crown,Clear Frames,Short Beard,Studio Cans,Double Exposure
19,Street Heir #19,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",19.png,Jade Arc,Warm Beige / Heart,Varsity Archive,Wave Crop,Star Liner,Short Beard,Gold Hoops,Sound Wave
20,Street Heir #20,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",20.png,Midnight Grid,Sienna / Soft Jaw,Quilted Vest,Loc Crown,Soft Blink,Fine Mustache,Curb Chain,Sound Wave
21,Street Heir #21,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",21.png,Cobalt Sun,Warm Beige / Heart,Workwear Blue,Wave Crop,Future Visor,Calm,Nose Ring,Double Exposure
22,Street Heir #22,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",22.png,Crimson Check,Olive / Square,Signal Bomber,Temple Fade,Steady,Silver Tooth,Nose Ring,Halftone Veil
23,Street Heir #23,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",23.png,Midnight Grid,Mahogany / Broad,Patched Denim,Box Braids,Side Eye,Half Smile,Ear Cuff,Orbit Lines
24,Street Heir #24,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",24.png,Violet Broadcast,Golden Brown / Tapered,Patched Denim,Loc Crown,Soft Blink,Calm,Gold Hoops,Corner Stamps
25,Street Heir #25,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",25.png,Midnight Grid,Olive / Square,Heavy Hoodie,Durag Tails,Future Visor,Berry Gloss,Nose Ring,Offset Halo
26,Street Heir #26,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",26.png,Violet Broadcast,Golden Brown / Tapered,Track Panel,Bandana Curls,Clear Frames,Calm,Nose Ring,Halftone Veil
27,Street Heir #27,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",27.png,Acid Window,Copper / High Cheek,Heavy Hoodie,Temple Fade,Side Eye,Gap Grin,Studio Cans,Prism Slice
28,Street Heir #28,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",28.png,Cobalt Sun,Olive / Square,Longline Coat,Durag Tails,Side Eye,Calm,Silver Studs,Pixel Flare
29,Street Heir #29,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",29.png,Midnight Grid,Sienna / Soft Jaw,Workwear Blue,Bandana Curls,Side Eye,Silver Tooth,Gold Hoops,Offset Halo
30,Street Heir #30,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",30.png,Violet Broadcast,Mahogany / Broad,Patched Denim,Box Braids,Steady,Fine Mustache,Curb Chain,Halftone Veil
31,Street Heir #31,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",31.png,Amber Blocks,Golden Brown / Tapered,Track Panel,Beanie Coils,Steady,Calm,Nose Ring,Orbit Lines
32,Street Heir #32,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",32.png,Midnight Grid,Warm Beige / Heart,Signal Bomber,Loc Crown,Joy Lines,Berry Gloss,Curb Chain,Crop Code
33,Street Heir #33,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",33.png,Paper Blue,Sienna / Soft Jaw,Football Knit,Bandana Curls,Steady,Calm,Silver Studs,Orbit Lines
34,Street Heir #34,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",34.png,Midnight Grid,Mahogany / Broad,Varsity Archive,High Puff,Soft Blink,Half Smile,Nose Ring,Prism Slice
35,Street Heir #35,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",35.png,Crimson Check,Sienna / Soft Jaw,Ribbed Turtleneck,Buzz Design,Soft Blink,Chin Stripe,Gold Hoops,Prism Slice
36,Street Heir #36,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",36.png,Paper Blue,Deep Umber / Angular,Ribbed Turtleneck,Beanie Coils,Steady,Fine Mustache,Ear Cuff,Type Bars
37,Street Heir #37,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",37.png,Crimson Check,Warm Beige / Heart,Varsity Archive,Buzz Design,Joy Lines,Calm,Safety Pin,Corner Stamps
38,Street Heir #38,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",38.png,Cobalt Sun,Cool Porcelain / Long,Longline Coat,Buzz Design,Star Liner,Gap Grin,Pearl Line,Corner Stamps
39,Street Heir #39,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",39.png,Violet Broadcast,Sienna / Soft Jaw,Heavy Hoodie,Durag Tails,Clear Frames,Chin Stripe,Gold Hoops,Prism Slice
40,Street Heir #40,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",40.png,Jade Arc,Cool Porcelain / Long,Patched Denim,Bandana Curls,Side Eye,Chin Stripe,Nose Ring,Corner Stamps
41,Street Heir #41,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",41.png,Paper Blue,Mahogany / Broad,Varsity Archive,Wave Crop,Soft Blink,Calm,Studio Cans,Prism Slice
42,Street Heir #42,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",42.png,Paper Blue,Deep Umber / Angular,Varsity Archive,Buzz Design,Joy Lines,Gap Grin,Studio Cans,Corner Stamps
43,Street Heir #43,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",43.png,Cobalt Sun,Warm Beige / Heart,Varsity Archive,Wave Crop,Joy Lines,Short Beard,Gold Hoops,Pixel Flare
44,Street Heir #44,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",44.png,Violet Broadcast,Deep Umber / Angular,Signal Bomber,High Puff,Steady,Chin Stripe,Studio Cans,Crop Code
45,Street Heir #45,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",45.png,Paper Blue,Deep Umber / Angular,Quilted Vest,Temple Fade,Soft Blink,Calm,Pearl Line,Prism Slice
46,Street Heir #46,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",46.png,Cobalt Sun,Golden Brown / Tapered,Football Knit,Sculpted Twists,Amber Shades,Silver Tooth,Ear Cuff,Double Exposure
47,Street Heir #47,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",47.png,Paper Blue,Olive / Square,Patched Denim,High Puff,Side Eye,Fine Mustache,Ear Cuff,Crop Code
48,Street Heir #48,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",48.png,Violet Broadcast,Warm Beige / Heart,Workwear Blue,Buzz Design,Amber Shades,Short Beard,Nose Ring,Type Bars
49,Street Heir #49,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",49.png,Amber Blocks,Warm Beige / Heart,Varsity Archive,Buzz Design,Soft Blink,Silver Tooth,Pearl Line,Prism Slice
50,Street Heir #50,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",50.png,Paper Blue,Copper / High Cheek,Signal Bomber,Loc Crown,Side Eye,Half Smile,Ear Cuff,Orbit Lines
51,Street Heir #51,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",51.png,Jade Arc,Sienna / Soft Jaw,Patched Denim,Box Braids,Side Eye,Fine Mustache,Safety Pin,Sound Wave
52,Street Heir #52,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",52.png,Paper Blue,Copper / High Cheek,Heavy Hoodie,High Puff,Side Eye,Gap Grin,Gold Hoops,Double Exposure
53,Street Heir #53,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",53.png,Crimson Check,Golden Brown / Tapered,Patched Denim,Sculpted Twists,Steady,Half Smile,Pearl Line,Corner Stamps
54,Street Heir #54,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",54.png,Amber Blocks,Golden Brown / Tapered,Track Panel,Wave Crop,Future Visor,Fine Mustache,Pearl Line,Prism Slice
55,Street Heir #55,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",55.png,Midnight Grid,Golden Brown / Tapered,Quilted Vest,Box Braids,Steady,Chin Stripe,Silver Studs,Prism Slice
56,Street Heir #56,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",56.png,Violet Broadcast,Cool Porcelain / Long,Patched Denim,Box Braids,Soft Blink,Half Smile,Silver Studs,Sound Wave
57,Street Heir #57,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",57.png,Paper Blue,Sienna / Soft Jaw,Workwear Blue,Temple Fade,Soft Blink,Half Smile,Pearl Line,Orbit Lines
58,Street Heir #58,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",58.png,Paper Blue,Copper / High Cheek,Track Panel,Bandana Curls,Star Liner,Berry Gloss,Safety Pin,Type Bars
59,Street Heir #59,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",59.png,Crimson Check,Mahogany / Broad,Varsity Archive,Loc Crown,Clear Frames,Gap Grin,Gold Hoops,Corner Stamps
60,Street Heir #60,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",60.png,Violet Broadcast,Warm Beige / Heart,Workwear Blue,Wave Crop,Joy Lines,Chin Stripe,Curb Chain,Orbit Lines
61,Street Heir #61,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",61.png,Acid Window,Golden Brown / Tapered,Ribbed Turtleneck,High Puff,Clear Frames,Gap Grin,Safety Pin,Type Bars
62,Street Heir #62,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",62.png,Cobalt Sun,Cool Porcelain / Long,Workwear Blue,Sculpted Twists,Steady,Calm,Ear Cuff,Crop Code
63,Street Heir #63,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",63.png,Amber Blocks,Deep Umber / Angular,Quilted Vest,Temple Fade,Star Liner,Gap Grin,Gold Hoops,Pixel Flare
64,Street Heir #64,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",64.png,Amber Blocks,Olive / Square,Varsity Archive,Temple Fade,Side Eye,Berry Gloss,Nose Ring,Crop Code
65,Street Heir #65,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",65.png,Midnight Grid,Sienna / Soft Jaw,Varsity Archive,Beanie Coils,Side Eye,Gap Grin,Ear Cuff,Orbit Lines
66,Street Heir #66,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",66.png,Acid Window,Mahogany / Broad,Track Panel,High Puff,Amber Shades,Calm,Studio Cans,Orbit Lines
67,Street Heir #67,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",67.png,Acid Window,Cool Porcelain / Long,Patched Denim,Box Braids,Joy Lines,Chin Stripe,Safety Pin,Type Bars
68,Street Heir #68,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",68.png,Jade Arc,Warm Beige / Heart,Ribbed Turtleneck,High Puff,Clear Frames,Calm,Curb Chain,Type Bars
69,Street Heir #69,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",69.png,Cobalt Sun,Copper / High Cheek,Quilted Vest,Loc Crown,Star Liner,Gap Grin,Curb Chain,Offset Halo
70,Street Heir #70,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",70.png,Cobalt Sun,Olive / Square,Football Knit,Beanie Coils,Side Eye,Fine Mustache,Silver Studs,Prism Slice
71,Street Heir #71,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",71.png,Acid Window,Golden Brown / Tapered,Football Knit,Loc Crown,Side Eye,Gap Grin,Curb Chain,Sound Wave
72,Street Heir #72,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",72.png,Cobalt Sun,Mahogany / Broad,Patched Denim,Temple Fade,Star Liner,Gap Grin,Nose Ring,Double Exposure
73,Street Heir #73,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",73.png,Cobalt Sun,Sienna / Soft Jaw,Quilted Vest,Temple Fade,Star Liner,Gap Grin,Safety Pin,Offset Halo
74,Street Heir #74,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",74.png,Crimson Check,Sienna / Soft Jaw,Ribbed Turtleneck,Loc Crown,Soft Blink,Silver Tooth,Curb Chain,Offset Halo
75,Street Heir #75,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",75.png,Amber Blocks,Cool Porcelain / Long,Longline Coat,Bandana Curls,Amber Shades,Silver Tooth,Gold Hoops,Type Bars
76,Street Heir #76,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",76.png,Paper Blue,Sienna / Soft Jaw,Longline Coat,Beanie Coils,Clear Frames,Berry Gloss,Nose Ring,Corner Stamps
77,Street Heir #77,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",77.png,Midnight Grid,Sienna / Soft Jaw,Track Panel,Beanie Coils,Clear Frames,Silver Tooth,Silver Studs,Pixel Flare
78,Street Heir #78,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",78.png,Cobalt Sun,Copper / High Cheek,Signal Bomber,Beanie Coils,Amber Shades,Calm,Safety Pin,Offset Halo
79,Street Heir #79,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",79.png,Amber Blocks,Olive / Square,Workwear Blue,Wave Crop,Steady,Gap Grin,Gold Hoops,Pixel Flare
80,Street Heir #80,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",80.png,Jade Arc,Golden Brown / Tapered,Workwear Blue,High Puff,Clear Frames,Gap Grin,Safety Pin,Prism Slice
81,Street Heir #81,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",81.png,Violet Broadcast,Deep Umber / Angular,Varsity Archive,High Puff,Steady,Chin Stripe,Studio Cans,Type Bars
82,Street Heir #82,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",82.png,Midnight Grid,Golden Brown / Tapered,Football Knit,High Puff,Star Liner,Berry Gloss,Nose Ring,Sound Wave
83,Street Heir #83,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",83.png,Cobalt Sun,Mahogany / Broad,Ribbed Turtleneck,Temple Fade,Soft Blink,Half Smile,Gold Hoops,Halftone Veil
